postalcode,street,lat,lng,price,area,volume,floors,year_build,has_garden,type,photos,rooms,distance,formatted,name,housenumber,street.1,postcode,district,suburb,city,state,country
1015 AK Amsterdam,Langestraat 31,52.3784,4.8836,895000,164,450,4,1700,0,woonhuis,42,5,11.71573516,"Westerstraat 105-1, 1015 LX Amsterdam, Netherlands",,105-1,Westerstraat,1015LX,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1018 LZ Amsterdam,Kleine Wittenburgerstraat 124,52.3676,4.9184,275000,56,189,1,1981,0,appartement,27,2,4.080374033,"Entrepotdoksluis 4, 1018 AW Amsterdam, Netherlands",,4,Entrepotdoksluis,1018AW,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1073 TB Amsterdam,Karel du Jardinstraat 53 HS+PP,52.3532,4.8982,550000,83,328,1,2000,1,appartement,39,3,2.251217568,"Van Ostadestraat 209K, 1073 TN Amsterdam, Netherlands",,209K,Van Ostadestraat,1073TN,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1073 XA Amsterdam,Gerard Doustraat 190 III,52.3532,4.8982,375000,69,222,1,1880,0,appartement,18,2,2.251217568,"Van Ostadestraat 209K, 1073 TN Amsterdam, Netherlands",,209K,Van Ostadestraat,1073TN,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1067 MT Amsterdam,Jan van Duivenvoordestraat 137,52.3786,4.7987,249000,97,295,1,2002,0,appartement,22,4,18.89536903,"StrackÃ©straat 8, 1067 KR Amsterdam, Netherlands",,8,StrackÃ©straat,1067KR,Nieuw-West,Geuzenveld,Amsterdam,North Holland,Netherlands
1017 BM Amsterdam,Reguliersdwarsstraat 46 -D*,52.363,4.8924,650000,96,290,1,1999,0,appartement,26,3,0.613385294,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",,245L,Kerkstraat,1017GW,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1108 CD Amsterdam,Leerdamhof 334,52.3082,4.9807,160000,71,180,1,1976,1,appartement,28,2,60.94847312,"Openbare Daltonschool Nellestein, Leksmondplein 31, 1108 EL Amsterdam, Netherlands",Openbare Daltonschool Nellestein,31,Leksmondplein,1108EL,Zuidoost,Nellestein,Amsterdam,North Holland,Netherlands
1077 NS Amsterdam,Minervalaan 71 -hs,52.346,4.8738,1150000,131,445,1,1930,1,appartement,22,5,8.308924964,"Rubensstraat 70, 1077 NA Amsterdam, Netherlands",,70,Rubensstraat,1077NA,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1066 TK Amsterdam,Blankenbergestraat 61,52.346,4.8163,450000,170,500,3,1995,1,woonhuis,36,5,2.708019666,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",Antwerpenbaan,,Laan van Vlaanderen,1066JL,Nieuw-West,Sloterpolder,Amsterdam,North Holland,Netherlands
1057 PT Amsterdam,Van Kinsbergenstraat 88,52.3677,4.8551,400000,73,235,1,2011,0,appartement,35,3,0.97240263,"Maranatha, Cabotstraat 33, 1057 VP Amsterdam, Netherlands",Maranatha,33,Cabotstraat,1057VP,West,West,Amsterdam,North Holland,Netherlands
1054 ZH Amsterdam,Jacob van Lennepkade 71 H,52.3617,4.8669,700000,104,252,4,1895,1,appartement,34,4,12.08561574,"Brederodestraat 15-2, 1054 MP Amsterdam, Netherlands",,15-2,Brederodestraat,1054MP,West,Helmersbuurt,Amsterdam,North Holland,Netherlands
1074 GA Amsterdam,Diamantstraat 17 / A-1,52.3539,4.9042,420000,84,238,1,1906,0,appartement,16,4,2.078957468,"Kuipersstraat 63-H, 1074 EG Amsterdam, Netherlands",,63-H,Kuipersstraat,1074EG,Zuid,Nieuwe Pijp,Amsterdam,North Holland,Netherlands
1013 Amsterdam,Houthavenweg,52.3877,4.8839,454761,93,260,1,2017,0,appartement,9,3,22.60058054,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands
1011 MK Amsterdam,Rapenburgerstraat,52.371,4.9041,60000,0,0,1,0,0,parkeergelegenheid,1,1,0.935823345,"Keizersbrug, 1011 KV Amsterdam, Netherlands",Keizersbrug,,Keizersbrug,1011KV,,Centrum,Amsterdam,North Holland,Netherlands
1011 KN Amsterdam,'s-Gravelandse Veer 10 SOUS,52.371,4.9041,450000,77,308,5,1850,0,appartement,20,2,0.935823345,"Keizersbrug, 1011 KV Amsterdam, Netherlands",Keizersbrug,,Keizersbrug,1011KV,,Centrum,Amsterdam,North Holland,Netherlands
1052 VL Amsterdam,Gillis van Ledenberchstraat 128 I,52.377,4.874,325000,60,180,5,1931,0,appartement,26,3,2.189558787,"Frederik Hendrikstraat 48-1, 1052 HW Amsterdam, Netherlands",,48-1,Frederik Hendrikstraat,1052HW,West,West,Amsterdam,North Holland,Netherlands
1108 DT Amsterdam,Leusdenhof 347,52.3082,4.9807,177500,75,266,1,1980,1,appartement,19,3,60.94847312,"Openbare Daltonschool Nellestein, Leksmondplein 31, 1108 EL Amsterdam, Netherlands",Openbare Daltonschool Nellestein,31,Leksmondplein,1108EL,Zuidoost,Nellestein,Amsterdam,North Holland,Netherlands
1012 JS Amsterdam,Dam 5 /N,52.3735,4.8951,2850000,211,580,1,2017,0,appartement,20,4,21.62983867,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",,157,Warmoesstraat,1012JC,Centrum,Oudezijde,Amsterdam,North Holland,Netherlands
1013 Amsterdam,Narva Eiland West (Bouwnr. 80),52.3877,4.8839,1037459,170,425,1,2017,0,appartement,8,4,22.60058054,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands
1068 ZW Amsterdam,Geer Ban 29,52.3592,4.8052,375000,132,459,2,2009,1,woonhuis,31,5,1.968066562,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",,677,Osdorpplein,1068TC,Nieuw-West,Nieuw-West,Amsterdam,North Holland,Netherlands
1058 GD Amsterdam,Andreasplein 34,52.3579,4.851,650000,115,364,1,2010,1,appartement,21,4,3.014316146,"Surinameplein, 1058 Amsterdam, Netherlands",Surinameplein,,Surinameplein,1058,,,Amsterdam,North Holland,Netherlands
1017 GJ Amsterdam,Kerkstraat 205 -B,52.363,4.8924,499000,74,245,2,1906,0,appartement,16,3,0.613385294,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",,245L,Kerkstraat,1017GW,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1071 VN Amsterdam,Cornelis Anthoniszstraat 11 II,52.3552,4.8789,395000,53,175,1,1899,0,appartement,21,3,19.59376221,"Wouwermanstraat 26-H, 1071 LZ Amsterdam, Netherlands",,26-H,Wouwermanstraat,1071LZ,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1033 XG Amsterdam,Perseusstraat 10,52.4092,4.8902,200000,84,210,2,1958,1,appartement,28,4,5.173699461,"Kometensingel 617, 1033 BT Amsterdam, Netherlands",,617,Kometensingel,1033BT,Noord,Tuindorp Oostzaan,Amsterdam,North Holland,Netherlands
1064 CK Amsterdam,Burgemeester Hogguerstraat 15,52.3742,4.8218,47500,0,0,1,0,0,parkeergelegenheid,8,1,6.234539033,"A.J. Krophollerstraat 6, 1064 DB Amsterdam, Netherlands",,6,A.J. Krophollerstraat,1064DB,,Nieuw-West,Amsterdam,North Holland,Netherlands
1069 EE Amsterdam,Langswater 601,52.3556,4.7907,169011,73,175,1,1960,0,appartement,16,4,25.49378508,"Langswater 384, 1069 EC Amsterdam, Netherlands",,384,Langswater,1069EC,Nieuw-West,De Punt,Amsterdam,North Holland,Netherlands
1063 GE Amsterdam,Robbert Cijferstraat 10,52.3814,4.8259,260000,105,263,2,1953,1,woonhuis,21,5,2.595441168,"Van Gilsestraat 13-H, 1063 VS Amsterdam, Netherlands",,13-H,Van Gilsestraat,1063VS,Nieuw-West,Slotermeer,Amsterdam,North Holland,Netherlands
1098 KV Amsterdam,Wethouder Frankeweg 1,52.3529,4.9422,400000,199,660,2,1906,0,appartement,8,1,5.359207258,"Voltaplein 42, 1098 NS Amsterdam, Netherlands",,42,Voltaplein,1098NS,Oost,Oost,Amsterdam,North Holland,Netherlands
1022 KD Amsterdam,Noorderkwartier (Bouwnr. 13),52.3987,4.9299,452396,162,405,2,2016,1,woonhuis,5,6,28.3948048,"Loenermark 471, 1025 TP Amsterdam, Netherlands",,471,Loenermark,1025TP,Noord,Buikslotermeer,Amsterdam,North Holland,Netherlands
1018 PS Amsterdam,Czaar Peterstraat 102 A Hs,52.3676,4.9184,225000,39,154,1,1906,1,appartement,15,2,4.080374033,"Entrepotdoksluis 4, 1018 AW Amsterdam, Netherlands",,4,Entrepotdoksluis,1018AW,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1013 AW Amsterdam,Silodam,52.3877,4.8839,39000,0,0,1,0,0,parkeergelegenheid,1,1,22.60058054,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands
1055 RZ Amsterdam,Nieuwpoortstraat 86 D8,52.3802,4.8524,525000,116,338,2,2017,1,appartement,20,3,1.768098137,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands
1056 VA Amsterdam,Pieter van der Doesstraat 13,52.3732,4.856,425000,84,252,4,1933,1,appartement,26,4,25.67499874,"Admiralengracht 228-2, 1056 TK Amsterdam, Netherlands",,228-2,Admiralengracht,1056TK,West,De Krommert,Amsterdam,North Holland,Netherlands
1056 PN Amsterdam,Orteliusstraat 288 I,52.3732,4.856,225000,50,158,1,1927,0,appartement,23,3,25.67499874,"Admiralengracht 228-2, 1056 TK Amsterdam, Netherlands",,228-2,Admiralengracht,1056TK,West,De Krommert,Amsterdam,North Holland,Netherlands
1077 BE Amsterdam,Apollolaan 86,52.346,4.8738,2850000,282,1388,3,1952,1,woonhuis,43,9,8.308924964,"Rubensstraat 70, 1077 NA Amsterdam, Netherlands",,70,Rubensstraat,1077NA,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1051 RG Amsterdam,Van der Palmkade 86,52.3818,4.8717,525000,98,263,2,2000,0,appartement,19,3,4.222585483,"Van Beuningenstraat 194E, 1051 XZ Amsterdam, Netherlands",,194E,Van Beuningenstraat,1051XZ,West,West,Amsterdam,North Holland,Netherlands
1011 GW Amsterdam,Krom Boomssloot 20 -2,52.371,4.9041,1150000,225,603,2,1636,0,appartement,33,5,0.935823345,"Keizersbrug, 1011 KV Amsterdam, Netherlands",Keizersbrug,,Keizersbrug,1011KV,,Centrum,Amsterdam,North Holland,Netherlands
1051 TN Amsterdam,Joan Melchior Kemperstraat 113 I,52.3818,4.8717,500000,100,306,1,1905,0,appartement,38,4,4.222585483,"Van Beuningenstraat 194E, 1051 XZ Amsterdam, Netherlands",,194E,Van Beuningenstraat,1051XZ,West,West,Amsterdam,North Holland,Netherlands
1106 WD Amsterdam,Helena Kuipers-Rietberghof 23,52.2991,4.9754,265000,111,330,3,1986,1,woonhuis,20,5,2.949591066,"Pannerdenstraat, 1106 BG Amsterdam, Netherlands",Pannerdenstraat,,Pannerdenstraat,1106BG,,Zuidoost,Amsterdam,North Holland,Netherlands
1035 GE Amsterdam,Stellingweg 208,52.4196,4.8944,348000,90,375,2,1992,1,woonhuis,12,3,5.227310669,"Jacob Honigstraat 5, 1035 XV Amsterdam, Netherlands",,5,Jacob Honigstraat,1035XV,Noord,Oostzanerwerf,Amsterdam,North Holland,Netherlands
1064 NX Amsterdam,Hof van Versailles 33,52.3742,4.8218,520000,147,514,3,1998,1,woonhuis,25,5,6.234539033,"A.J. Krophollerstraat 6, 1064 DB Amsterdam, Netherlands",,6,A.J. Krophollerstraat,1064DB,,Nieuw-West,Amsterdam,North Holland,Netherlands
1017 JJ Amsterdam,Prinsengracht 1113 A,52.363,4.8924,680000,121,338,1,1906,1,appartement,21,2,0.613385294,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",,245L,Kerkstraat,1017GW,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1094 GR Amsterdam,Madurastraat 70 II,52.3626,4.936,250000,50,166,1,1906,0,appartement,20,2,22.68397045,"Sumatrastraat 69, 1094 LR Amsterdam, Netherlands",,69,Sumatrastraat,1094LR,Oost,Indische Buurt West,Amsterdam,North Holland,Netherlands
1065 BG Amsterdam,Colenbranderhof 30,52.3573,4.8278,775000,217,680,2,1945,1,woonhuis,25,10,12.73989697,"Cornelis Lelylaan 117, 1065 CN Amsterdam, Netherlands",,117,Cornelis Lelylaan,1065CN,Nieuw-West,Slotervaart,Amsterdam,North Holland,Netherlands
1071 ER Amsterdam,Korte Van Eeghenstraat 1 -II-III,52.3552,4.8789,875000,143,518,3,1906,0,appartement,44,6,19.59376221,"Wouwermanstraat 26-H, 1071 LZ Amsterdam, Netherlands",,26-H,Wouwermanstraat,1071LZ,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1061 AX Amsterdam,Postjesweg 138 L,52.3736,4.8395,195000,45,150,1,2008,0,appartement,38,2,19.25031897,"Rinus Michelslaan 14A, 1061 MB Amsterdam, Netherlands",,14A,Rinus Michelslaan,1061MB,West,Kolenkitbuurt,Amsterdam,North Holland,Netherlands
1071 AC Amsterdam,Vossiusstraat 18 H,52.3552,4.8789,1450000,175,488,3,1879,1,appartement,27,6,19.59376221,"Wouwermanstraat 26-H, 1071 LZ Amsterdam, Netherlands",,26-H,Wouwermanstraat,1071LZ,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1019 LZ Amsterdam,Barcelonaplein 166,52.3733,4.9391,225000,52,140,1,1993,0,appartement,18,2,5.763955155,"C.J.K. van Aalststraat 44, 1019 JZ Amsterdam, Netherlands",,44,C.J.K. van Aalststraat,1019JZ,,Eastern Docklands,Amsterdam,North Holland,Netherlands
1058 GX Amsterdam,Antillenstraat 21 1,52.3579,4.851,314000,60,175,1,1930,0,appartement,15,3,3.014316146,"Surinameplein, 1058 Amsterdam, Netherlands",Surinameplein,,Surinameplein,1058,,,Amsterdam,North Holland,Netherlands
1077 EP Amsterdam,Gerrit van der Veenstraat 118 A,52.346,4.8738,150000,0,0,1,0,0,parkeergelegenheid,6,1,8.308924964,"Rubensstraat 70, 1077 NA Amsterdam, Netherlands",,70,Rubensstraat,1077NA,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1098 XA Amsterdam,Carolina MacGillavrylaan 33,52.3529,4.9422,300000,77,210,1,2010,0,appartement,23,3,5.359207258,"Voltaplein 42, 1098 NS Amsterdam, Netherlands",,42,Voltaplein,1098NS,Oost,Oost,Amsterdam,North Holland,Netherlands
1075 CT Amsterdam,Koninginneweg 231 3,52.3518,4.8586,925000,147,546,2,1884,0,appartement,36,4,12.51019918,"Koninginneweg 237-H, 1075 CT Amsterdam, Netherlands",,237-H,Koninginneweg,1075CT,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1069 EH Amsterdam,Langswater 842,52.3556,4.7907,149000,60,180,13,1960,0,appartement,13,3,25.49378508,"Langswater 384, 1069 EC Amsterdam, Netherlands",,384,Langswater,1069EC,Nieuw-West,De Punt,Amsterdam,North Holland,Netherlands
1097 CP Amsterdam,Willem Beukelsstraat 1 G,52.3465,4.9301,315000,77,240,1,1981,0,appartement,20,3,2.796740279,"Darwinplantsoen 6, 1097 EX Amsterdam, Netherlands",,6,Darwinplantsoen,1097EX,Oost,Oost,Amsterdam,North Holland,Netherlands
1060 NV Amsterdam,Brenner 46,52.3491,4.7835,375000,130,422,3,1997,1,woonhuis,24,5,2.700931735,"De Alpen, 1060 PH Amsterdam, Netherlands",De Alpen,,De Alpen,1060PH,,De Aker,Amsterdam,North Holland,Netherlands
1091 ZE Amsterdam,President Brandstraat 53,52.3556,4.9135,450000,108,321,2,1992,0,appartement,22,4,5.562369844,"Derde Oosterparkstraat 11E, 1091 JS Amsterdam, Netherlands",,11E,Derde Oosterparkstraat,1091JS,Oost,Oost,Amsterdam,North Holland,Netherlands
1103 LE Amsterdam,Groenhoven 236,52.3231,4.9722,159000,109,336,1,1976,0,appartement,17,3,12.54845222,"Harriet Freezerstraat 113, 1103 JP Amsterdam, Netherlands",,113,Harriet Freezerstraat,1103JP,Zuidoost,Bijlmer Oost,Amsterdam,North Holland,Netherlands
1019 ND Amsterdam,VenetiÃ«hof 147,52.3733,4.9391,399000,93,323,1,1995,1,appartement,34,3,5.763955155,"C.J.K. van Aalststraat 44, 1019 JZ Amsterdam, Netherlands",,44,C.J.K. van Aalststraat,1019JZ,,Eastern Docklands,Amsterdam,North Holland,Netherlands
1012 SC Amsterdam,Nieuwezijds Voorburgwal 56 A,52.3735,4.8951,264995,34,125,1,1912,0,appartement,6,1,21.62983867,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",,157,Warmoesstraat,1012JC,Centrum,Oudezijde,Amsterdam,North Holland,Netherlands
1066 WK Amsterdam,Knokkestraat 78,52.346,4.8163,425000,127,368,3,1995,1,woonhuis,20,6,2.708019666,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",Antwerpenbaan,,Laan van Vlaanderen,1066JL,Nieuw-West,Sloterpolder,Amsterdam,North Holland,Netherlands
1055 EA Amsterdam,Bos en Lommerweg 347 II,52.3802,4.8524,350000,78,215,1,1940,0,appartement,26,4,1.768098137,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands
1056 CL Amsterdam,Mercatorplein 36 -H,52.3732,4.856,399000,110,308,2,1935,0,appartement,30,3,25.67499874,"Admiralengracht 228-2, 1056 TK Amsterdam, Netherlands",,228-2,Admiralengracht,1056TK,West,De Krommert,Amsterdam,North Holland,Netherlands
1069 HM Amsterdam,Lederambachtstraat 222,52.3556,4.7907,182500,0,0,1,0,0,onbekend,1,1,25.49378508,"Langswater 384, 1069 EC Amsterdam, Netherlands",,384,Langswater,1069EC,Nieuw-West,De Punt,Amsterdam,North Holland,Netherlands
1087 GL Amsterdam,Parkeerplaats blok 23b,52.3539,5.0005,30000,0,0,1,0,0,parkeergelegenheid,1,1,14.54762257,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",,987,Maria Austriastraat,1087JB,Oost,IJburg West,Amsterdam,North Holland,Netherlands
1033 JS Amsterdam,Druivenstraat 55,52.4092,4.8902,700000,151,639,2,1994,1,woonhuis,41,4,5.173699461,"Kometensingel 617, 1033 BT Amsterdam, Netherlands",,617,Kometensingel,1033BT,Noord,Tuindorp Oostzaan,Amsterdam,North Holland,Netherlands
1071 ZL Amsterdam,Van Breestraat 135 II,52.3552,4.8789,1200000,148,520,2,1904,1,appartement,35,5,19.59376221,"Wouwermanstraat 26-H, 1071 LZ Amsterdam, Netherlands",,26-H,Wouwermanstraat,1071LZ,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1106 WR Amsterdam,Cornelis Schuurmanhof 13,52.2991,4.9754,210000,80,270,2,1985,1,woonhuis,27,3,2.949591066,"Pannerdenstraat, 1106 BG Amsterdam, Netherlands",Pannerdenstraat,,Pannerdenstraat,1106BG,,Zuidoost,Amsterdam,North Holland,Netherlands
1071 VD Amsterdam,Balthasar Floriszstraat 22 I,52.3552,4.8789,325000,52,167,1,1899,0,appartement,20,3,19.59376221,"Wouwermanstraat 26-H, 1071 LZ Amsterdam, Netherlands",,26-H,Wouwermanstraat,1071LZ,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1098 JK Amsterdam,Archimedesweg 9,52.3529,4.9422,1075000,182,300,2,1931,1,appartement,34,6,5.359207258,"Voltaplein 42, 1098 NS Amsterdam, Netherlands",,42,Voltaplein,1098NS,Oost,Oost,Amsterdam,North Holland,Netherlands
1098 KV Amsterdam,Wethouder Frankeweg 5 I,52.3529,4.9422,450000,81,243,1,1906,0,appartement,25,3,5.359207258,"Voltaplein 42, 1098 NS Amsterdam, Netherlands",,42,Voltaplein,1098NS,Oost,Oost,Amsterdam,North Holland,Netherlands
1107 TG Amsterdam,Silvoldestraat 6,52.2932,4.9803,212000,89,316,1,1983,0,woonhuis,1,4,5.755793401,"Sliedrechtstraat, 1107 JR Amsterdam, Netherlands",Sliedrechtstraat,,Sliedrechtstraat,1107JR,,Gein,Amsterdam,North Holland,Netherlands
1015 BK Amsterdam,Herengracht 12 -III-IV,52.3784,4.8836,899000,125,350,3,1605,0,appartement,22,2,11.71573516,"Westerstraat 105-1, 1015 LX Amsterdam, Netherlands",,105-1,Westerstraat,1015LX,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1065 AH Amsterdam,Willem Mollhof 13,52.3573,4.8278,325000,97,352,2,1957,1,woonhuis,30,5,12.73989697,"Cornelis Lelylaan 117, 1065 CN Amsterdam, Netherlands",,117,Cornelis Lelylaan,1065CN,Nieuw-West,Slotervaart,Amsterdam,North Holland,Netherlands
1018 Amsterdam,Cruquiuskade,52.3676,4.9184,20000,0,0,1,0,0,parkeergelegenheid,5,1,4.080374033,"Entrepotdoksluis 4, 1018 AW Amsterdam, Netherlands",,4,Entrepotdoksluis,1018AW,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1013 Amsterdam,Narva Eiland West (Bouwnr. 79),52.3877,4.8839,663098,121,302,1,2017,0,appartement,9,4,22.60058054,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands
1028 BR Amsterdam,Dorpsweg Ransdorp 68 B,52.4014,5.0073,749000,136,969,2,1981,1,woonhuis,33,4,500.8931529,"Bloemendalergouw 49B, 1028 BH Amsterdam, Netherlands",,49B,Bloemendalergouw,1028BH,Noord,Waterland,Amsterdam,North Holland,Netherlands
1013 CE Amsterdam,Noordkaapstraat 9,52.3877,4.8839,275000,61,185,1,1985,0,appartement,17,3,22.60058054,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands
1067 AN Amsterdam,Pieter Postsingel 24,52.3786,4.7987,300000,121,305,3,1955,1,woonhuis,29,4,18.89536903,"StrackÃ©straat 8, 1067 KR Amsterdam, Netherlands",,8,StrackÃ©straat,1067KR,Nieuw-West,Geuzenveld,Amsterdam,North Holland,Netherlands
1069 HV Amsterdam,Rengerskerkestraat 14,52.3556,4.7907,225000,97,300,5,2008,0,appartement,12,3,25.49378508,"Langswater 384, 1069 EC Amsterdam, Netherlands",,384,Langswater,1069EC,Nieuw-West,De Punt,Amsterdam,North Holland,Netherlands
1024 CX Amsterdam,Markengouw 117,52.3939,4.9547,365000,118,420,3,2016,1,woonhuis,34,5,5.346782838,"Zandvoortstraat 70, 1024 WE Amsterdam, Netherlands",,70,Zandvoortstraat,1024WE,Noord,Waterlandpleinbuurt,Amsterdam,North Holland,Netherlands
1025 JH Amsterdam,Bovenover 27,52.399,4.9361,175000,55,158,1,1969,0,appartement,17,2,12.75019992,"Buikslotermeerplein 124, 1025 EX Amsterdam, Netherlands",,124,Buikslotermeerplein,1025EX,Noord,Noord,Amsterdam,North Holland,Netherlands
1067 NB Amsterdam,Berlagehof 32,52.3786,4.7987,250000,107,369,1,1950,1,woonhuis,19,5,18.89536903,"StrackÃ©straat 8, 1067 KR Amsterdam, Netherlands",,8,StrackÃ©straat,1067KR,Nieuw-West,Geuzenveld,Amsterdam,North Holland,Netherlands
1017 DN Amsterdam,Keizersgracht 515 -F,52.363,4.8924,580000,83,300,1,1906,0,appartement,30,3,0.613385294,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",,245L,Kerkstraat,1017GW,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1087 LS Amsterdam,Emmy Andriessestraat 430,52.3539,5.0005,549000,136,569,3,2007,1,woonhuis,42,5,14.54762257,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",,987,Maria Austriastraat,1087JB,Oost,IJburg West,Amsterdam,North Holland,Netherlands
1065 LZ Amsterdam,Jan Muschstraat 42,52.3573,4.8278,139000,32,100,2,1984,0,appartement,23,2,12.73989697,"Cornelis Lelylaan 117, 1065 CN Amsterdam, Netherlands",,117,Cornelis Lelylaan,1065CN,Nieuw-West,Slotervaart,Amsterdam,North Holland,Netherlands
1102 NJ Amsterdam,Haardstee 150,52.3166,4.9517,150000,45,120,1,1982,0,appartement,1,2,49.79663638,"Raoul Wallenberghofje 3, 1102 AH Amsterdam, Netherlands",,3,Raoul Wallenberghofje,1102AH,Zuidoost,Bijlmer Centrum,Amsterdam,North Holland,Netherlands
1073 BK Amsterdam,Albert Cuypstraat 166 E,52.3532,4.8982,399000,70,202,1,1893,0,appartement,17,4,2.251217568,"Van Ostadestraat 209K, 1073 TN Amsterdam, Netherlands",,209K,Van Ostadestraat,1073TN,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1053 WS Amsterdam,Da Costakade 119 B,52.3668,4.8681,479000,80,240,4,1984,1,appartement,23,3,0,"De Hallen, Hannie Dankbaarpassage 20, 1053 RS Amsterdam, Netherlands",De Hallen,20,Hannie Dankbaarpassage,1053RS,,West,Amsterdam,North Holland,Netherlands
1053 RE Amsterdam,Borgerstraat 220 II,52.3668,4.8681,240000,45,135,1,1895,0,appartement,17,2,0,"De Hallen, Hannie Dankbaarpassage 20, 1053 RS Amsterdam, Netherlands",De Hallen,20,Hannie Dankbaarpassage,1053RS,,West,Amsterdam,North Holland,Netherlands
1055 RD Amsterdam,Willem de Zwijgerlaan 334 C14,52.3802,4.8524,200000,49,188,1,2003,0,appartement,26,1,1.768098137,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands
1016 HJ Amsterdam,Prinsengracht 286 F,52.3709,4.8816,1750000,145,445,1,1964,0,appartement,37,3,0,"Canal Ring Area of Amsterdam, Konijnenstraat 20, 1021 HR Amsterdam, Netherlands",Canal Ring Area of Amsterdam,20,Konijnenstraat,1021HR,,Centrum,Amsterdam,North Holland,Netherlands
1087 JA Amsterdam,Erich Salomonstraat 422,52.3539,5.0005,320000,100,330,1,2005,0,appartement,26,4,14.54762257,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",,987,Maria Austriastraat,1087JB,Oost,IJburg West,Amsterdam,North Holland,Netherlands
1015 JN Amsterdam,Goudsbloemstraat 191 A,52.3784,4.8836,295000,47,122,1,1905,1,appartement,14,2,11.71573516,"Westerstraat 105-1, 1015 LX Amsterdam, Netherlands",,105-1,Westerstraat,1015LX,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1015 CD Amsterdam,Keizersgracht 37 A,52.3784,4.8836,825000,110,424,3,1620,0,appartement,34,4,11.71573516,"Westerstraat 105-1, 1015 LX Amsterdam, Netherlands",,105-1,Westerstraat,1015LX,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1069 KD Amsterdam,Johan Hofmanstraat 307,52.3556,4.7907,250000,96,292,1,2008,0,appartement,20,3,25.49378508,"Langswater 384, 1069 EC Amsterdam, Netherlands",,384,Langswater,1069EC,Nieuw-West,De Punt,Amsterdam,North Holland,Netherlands
1013 AW Amsterdam,Silodam 444,52.3877,4.8839,465000,90,226,2,2002,0,appartement,28,3,22.60058054,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands
