postalcode,street,lat,lng,price,area,volume,floors,year_build,has_garden,type,photos,rooms,distance,formatted,name,housenumber,street.1,postcode,district,suburb,city,state,country
1087 Amsterdam,Sem Presserhof PP Parkeerplaats 145,52.3539,5.0005,21000,0,0,1,0,0,parkeergelegenheid,10,1,14.54762257,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",,987,Maria Austriastraat,1087JB,Oost,IJburg West,Amsterdam,North Holland,Netherlands
1082 PB Amsterdam,Krooswijkhof 108,52.3311,4.8742,400000,78,238,1,1981,1,appartement,20,3,14.77331069,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",,197,Doddendaal,1082XT,Zuid,Buitenveldert,Amsterdam,North Holland,Netherlands
1015 RC Amsterdam,Egelantiersgracht 31 -2,52.3784,4.8836,295000,38,125,4,1906,0,appartement,13,2,11.71573516,"Westerstraat 105-1, 1015 LX Amsterdam, Netherlands",,105-1,Westerstraat,1015LX,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1063 HJ Amsterdam,Cornelis de Grootpad 3,52.3814,4.8259,245000,85,280,2,1955,1,woonhuis,22,4,2.595441168,"Van Gilsestraat 13-H, 1063 VS Amsterdam, Netherlands",,13-H,Van Gilsestraat,1063VS,Nieuw-West,Slotermeer,Amsterdam,North Holland,Netherlands
1091 LV Amsterdam,Hofmeyrstraat 7 -hs,52.3556,4.9135,200000,43,105,4,1926,1,appartement,12,2,5.562369844,"Derde Oosterparkstraat 11E, 1091 JS Amsterdam, Netherlands",,11E,Derde Oosterparkstraat,1091JS,Oost,Oost,Amsterdam,North Holland,Netherlands
1012 RK Amsterdam,Nieuwezijds Voorburgwal 169 D,52.3735,4.8951,550000,89,310,2,1906,0,appartement,36,4,21.62983867,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",,157,Warmoesstraat,1012JC,Centrum,Oudezijde,Amsterdam,North Holland,Netherlands
1011 TT Amsterdam,Rapenburg 3 III-B,52.371,4.9041,325000,65,157,1,1850,0,appartement,22,1,0.935823345,"Keizersbrug, 1011 KV Amsterdam, Netherlands",Keizersbrug,,Keizersbrug,1011KV,,Centrum,Amsterdam,North Holland,Netherlands
1074 EB Amsterdam,Ceintuurbaan 428 - II,52.3539,4.9042,349000,53,145,4,1906,0,appartement,22,3,2.078957468,"Kuipersstraat 63-H, 1074 EG Amsterdam, Netherlands",,63-H,Kuipersstraat,1074EG,Zuid,Nieuwe Pijp,Amsterdam,North Holland,Netherlands
1058 GA Amsterdam,Saskia van Uijlenburgkade 57,52.3579,4.851,750000,120,313,1,2010,1,appartement,32,5,3.014316146,"Surinameplein, 1058 Amsterdam, Netherlands",Surinameplein,,Surinameplein,1058,,,Amsterdam,North Holland,Netherlands
1012 RN Amsterdam,Wijdesteeg 3 L,52.3735,4.8951,604840,69,225,4,1906,0,appartement,26,2,21.62983867,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",,157,Warmoesstraat,1012JC,Centrum,Oudezijde,Amsterdam,North Holland,Netherlands
1018 GP Amsterdam,Sarphatistraat 62 D,52.3676,4.9184,599000,80,250,1,2000,0,appartement,27,2,4.080374033,"Entrepotdoksluis 4, 1018 AW Amsterdam, Netherlands",,4,Entrepotdoksluis,1018AW,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1102 VA Amsterdam,Barbusselaan 266,52.3166,4.9517,119000,43,134,1,1985,0,appartement,13,2,49.79663638,"Raoul Wallenberghofje 3, 1102 AH Amsterdam, Netherlands",,3,Raoul Wallenberghofje,1102AH,Zuidoost,Bijlmer Centrum,Amsterdam,North Holland,Netherlands
1086 ZR Amsterdam,Zeeburgerbaai bwnr. 7 (Bouwnr. 0),52.3628,4.9819,700000,155,589,3,2017,1,woonhuis,7,5,0.535708752,"IJburglaan 257, 1086 ZJ Amsterdam, Netherlands",,257,IJburglaan,1086ZJ,Oost,Steigereiland-Noord,Amsterdam,North Holland,Netherlands
1066 PW Amsterdam,Kempenlaan 19,52.346,4.8163,585000,170,340,6,1994,0,appartement,24,4,2.708019666,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",Antwerpenbaan,,Laan van Vlaanderen,1066JL,Nieuw-West,Sloterpolder,Amsterdam,North Holland,Netherlands
1055 TK Amsterdam,Bestev̢erstraat 159 III,52.3802,4.8524,492000,92,309,5,1906,1,appartement,23,4,1.768098137,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands
1024 XR Amsterdam,Dijkmanshuizenstraat 130,52.3939,4.9547,275000,80,315,1,2011,1,appartement,34,3,5.346782838,"Zandvoortstraat 70, 1024 WE Amsterdam, Netherlands",,70,Zandvoortstraat,1024WE,Noord,Waterlandpleinbuurt,Amsterdam,North Holland,Netherlands
1063 BK Amsterdam,Burgemeester De Vlugtlaan 177,52.3814,4.8259,29500,0,0,1,0,0,parkeergelegenheid,1,1,2.595441168,"Van Gilsestraat 13-H, 1063 VS Amsterdam, Netherlands",,13-H,Van Gilsestraat,1063VS,Nieuw-West,Slotermeer,Amsterdam,North Holland,Netherlands
1107 PS Amsterdam,Tongerenstraat 68,52.2932,4.9803,255000,119,395,3,1983,1,woonhuis,21,5,5.755793401,"Sliedrechtstraat, 1107 JR Amsterdam, Netherlands",Sliedrechtstraat,,Sliedrechtstraat,1107JR,,Gein,Amsterdam,North Holland,Netherlands
1023 NM Amsterdam,Schellingwouderdijk 372 c,52.3899,4.947,179511,68,230,1,1900,0,woonhuis,27,4,11.81350109,"Oudorperstraat 17-1, 1023 SR Amsterdam, Netherlands",,17-1,Oudorperstraat,1023SR,Noord,Tuindorp Nieuwendam,Amsterdam,North Holland,Netherlands
1102 CD Amsterdam,Hoogoord 86,52.3166,4.9517,169500,94,248,1,1969,0,appartement,11,4,49.79663638,"Raoul Wallenberghofje 3, 1102 AH Amsterdam, Netherlands",,3,Raoul Wallenberghofje,1102AH,Zuidoost,Bijlmer Centrum,Amsterdam,North Holland,Netherlands
1066 TC Amsterdam,Kortrijk 56,52.346,4.8163,625000,150,450,3,1995,1,woonhuis,34,5,2.708019666,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",Antwerpenbaan,,Laan van Vlaanderen,1066JL,Nieuw-West,Sloterpolder,Amsterdam,North Holland,Netherlands
1059 XH Amsterdam,Piet Gijzenbrugstraat 6 -1,52.3488,4.8468,275000,52,254,1,1933,0,appartement,19,2,7.424910889,"Sassenheimstraat 80-1, 1059 BM Amsterdam, Netherlands",,80-1,Sassenheimstraat,1059BM,Zuid,Hoofddorppleinbuurt,Amsterdam,North Holland,Netherlands
1055 RZ Amsterdam,Nieuwpoortstraat 86 A 21,52.3802,4.8524,265000,49,172,1,2017,0,appartement,20,2,1.768098137,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands
1061 CC Amsterdam,Ernest Staesstraat 45 I,52.3736,4.8395,308000,80,198,2,1945,1,appartement,8,6,19.25031897,"Rinus Michelslaan 14A, 1061 MB Amsterdam, Netherlands",,14A,Rinus Michelslaan,1061MB,West,Kolenkitbuurt,Amsterdam,North Holland,Netherlands
1055 EK Amsterdam,Bos en Lommerplein 42,52.3802,4.8524,315000,80,210,2,2003,0,appartement,19,3,1.768098137,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands
1091 ER Amsterdam,Weesperzijde 127 4,52.3556,4.9135,899000,110,320,1,1913,0,appartement,38,3,5.562369844,"Derde Oosterparkstraat 11E, 1091 JS Amsterdam, Netherlands",,11E,Derde Oosterparkstraat,1091JS,Oost,Oost,Amsterdam,North Holland,Netherlands
1058 VA Amsterdam,Theophile de Bockstraat 73 -3,52.3579,4.851,299000,61,207,1,1906,0,appartement,29,3,3.014316146,"Surinameplein, 1058 Amsterdam, Netherlands",Surinameplein,,Surinameplein,1058,,,Amsterdam,North Holland,Netherlands
1051 NH Amsterdam,Marcantilaan 336,52.3818,4.8717,225000,41,127,5,1984,0,appartement,22,2,4.222585483,"Van Beuningenstraat 194E, 1051 XZ Amsterdam, Netherlands",,194E,Van Beuningenstraat,1051XZ,West,West,Amsterdam,North Holland,Netherlands
1074 XN Amsterdam,Tweede Jan van der Heijdenstraat 49 1,52.3539,4.9042,375000,72,187,1,1930,0,appartement,1,4,2.078957468,"Kuipersstraat 63-H, 1074 EG Amsterdam, Netherlands",,63-H,Kuipersstraat,1074EG,Zuid,Nieuwe Pijp,Amsterdam,North Holland,Netherlands
1015 GB Amsterdam,Brouwersgracht 35 -B,52.3784,4.8836,825000,105,341,3,1625,1,appartement,35,5,11.71573516,"Westerstraat 105-1, 1015 LX Amsterdam, Netherlands",,105-1,Westerstraat,1015LX,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1023 EL Amsterdam,Monnikendammerplantsoen 5,52.3899,4.947,250000,61,180,2,1931,1,woonhuis,50,4,11.81350109,"Oudorperstraat 17-1, 1023 SR Amsterdam, Netherlands",,17-1,Oudorperstraat,1023SR,Noord,Tuindorp Nieuwendam,Amsterdam,North Holland,Netherlands
1073 VA Amsterdam,Sint Willibrordusstraat 75 3,52.3532,4.8982,275000,43,132,1,1903,0,appartement,29,2,2.251217568,"Van Ostadestraat 209K, 1073 TN Amsterdam, Netherlands",,209K,Van Ostadestraat,1073TN,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1074 TV Amsterdam,Lutmastraat 191,52.3539,4.9042,55000,0,0,1,0,0,parkeergelegenheid,3,1,2.078957468,"Kuipersstraat 63-H, 1074 EG Amsterdam, Netherlands",,63-H,Kuipersstraat,1074EG,Zuid,Nieuwe Pijp,Amsterdam,North Holland,Netherlands
1068 DA Amsterdam,Ruimzicht 311,52.3592,4.8052,325000,88,267,1,1960,0,appartement,23,4,1.968066562,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",,677,Osdorpplein,1068TC,Nieuw-West,Nieuw-West,Amsterdam,North Holland,Netherlands
1078 AZ Amsterdam,Amstelkade 169 A-1,52.3464,4.8977,425000,81,273,1,1936,0,appartement,17,4,11.34464554,"Churchill-laan 75D, 1078 DJ Amsterdam, Netherlands",,75D,Churchill-laan,1078DJ,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1082 TN Amsterdam,Frieslandstraat 167,52.3311,4.8742,199500,46,140,1,1963,1,appartement,16,2,14.77331069,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",,197,Doddendaal,1082XT,Zuid,Buitenveldert,Amsterdam,North Holland,Netherlands
1017 ZT Amsterdam,Nicolaas Witsenkade 31 H*,52.363,4.8924,700000,105,342,1,1892,0,appartement,28,3,0.613385294,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",,245L,Kerkstraat,1017GW,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1051 BW Amsterdam,Van Hogendorpstraat 142 III,52.3818,4.8717,425000,77,210,2,1911,0,appartement,23,3,4.222585483,"Van Beuningenstraat 194E, 1051 XZ Amsterdam, Netherlands",,194E,Van Beuningenstraat,1051XZ,West,West,Amsterdam,North Holland,Netherlands
1021 HL Amsterdam,Fazantenweg 67,52.3846,4.9172,235000,67,198,1,1990,0,appartement,20,3,29.55785696,"Meeuwenlaan 143, 1021 JA Amsterdam, Netherlands",,143,Meeuwenlaan,1021JA,Noord,IJplein/Vogelbuurt,Amsterdam,North Holland,Netherlands
1025 DS Amsterdam,H. Cleyndertweg 423,52.399,4.9361,30000,0,0,1,0,0,parkeergelegenheid,1,1,12.75019992,"Buikslotermeerplein 124, 1025 EX Amsterdam, Netherlands",,124,Buikslotermeerplein,1025EX,Noord,Noord,Amsterdam,North Holland,Netherlands
1071 RT Amsterdam,Frans van Mierisstraat 24 H,52.3552,4.8789,1295000,173,595,5,1905,1,appartement,40,6,19.59376221,"Wouwermanstraat 26-H, 1071 LZ Amsterdam, Netherlands",,26-H,Wouwermanstraat,1071LZ,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1060 LX Amsterdam,Cycladenlaan 68 .,52.3491,4.7835,545000,0,0,1,0,0,onbekend,1,1,2.700931735,"De Alpen, 1060 PH Amsterdam, Netherlands",De Alpen,,De Alpen,1060PH,,De Aker,Amsterdam,North Holland,Netherlands
