original_postalcode,original_street,original_lat,original_lng,original_price,original_area,original_volume,original_floors,original_year_build,original_has_garden,original_type,original_photos,original_rooms,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,state,country,country_code,attribution,attribution_license,attribution_url
1086 Amsterdam,IJburglaan,52.36280000,4.98190000,25000,0,0,1,0,0,parkeergelegenheid,1,1,0.535708752118495,"IJburglaan 257, 1086 ZJ Amsterdam, Netherlands",52.3627971,4.9819063,,257,IJburglaan,1086ZJ,Oost,Steigereiland-Noord,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1078 LK Amsterdam,Roerstraat 77 I,52.34640000,4.89770000,449000,90,296,2,1906,1,appartement,38,4,11.344645539447924,"Churchill-laan 75D, 1078 DJ Amsterdam, Netherlands",52.3464982,4.8976547,,75D,Churchill-laan,1078DJ,Zuid,Zuid,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1015 NH Amsterdam,Anjeliersstraat 16 B,52.37840000,4.88360000,450000,75,200,1,1994,0,appartement,10,3,11.715735159463115,"Westerstraat 105-1, 1015 LX Amsterdam, Netherlands",52.3783013,4.8836604,,105-1,Westerstraat,1015LX,Centrum,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1102 JH Amsterdam,Nadezjda Mandelstamstraat 41,52.31660000,4.95170000,275000,135,535,3,2002,1,woonhuis,16,4,49.79663637578256,"Raoul Wallenberghofje 3, 1102 AH Amsterdam, Netherlands",52.316997,4.952039,,3,Raoul Wallenberghofje,1102AH,Zuidoost,Bijlmer Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1087 GD Amsterdam,Zwanebloemlaan 87,52.35390000,5.00050000,825000,183,610,3,2007,1,woonhuis,40,6,14.547622573122053,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",52.353989,5.000657,,987,Maria Austriastraat,1087JB,Oost,IJburg West,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1064 NE Amsterdam,Thomas van Aquinostraat 29,52.37420000,4.82180000,189000,70,205,2,1945,1,woonhuis,13,4,6.234539033066015,"A.J. Krophollerstraat 6, 1064 DB Amsterdam, Netherlands",52.3742289,4.8217213,,6,A.J. Krophollerstraat,1064DB,,Nieuw-West,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1059 SR Amsterdam,Woestduinstraat 119 I,52.34880000,4.84680000,275000,53,180,1,1934,0,appartement,19,3,7.424910888743452,"Sassenheimstraat 80-1, 1059 BM Amsterdam, Netherlands",52.3488658,4.8468186,,80-1,Sassenheimstraat,1059BM,Zuid,Hoofddorppleinbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1011 RM Amsterdam,Nieuwe Herengracht 35,52.37100000,4.90410000,1875000,300,850,4,1670,1,woonhuis,35,10,0.9358233445245736,"Keizersbrug, 1011 KV Amsterdam, Netherlands",52.3710995,4.9040025,Keizersbrug,,Keizersbrug,1011KV,,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1035 JZ Amsterdam,Lange Vonder 108,52.41960000,4.89440000,379000,110,330,3,1993,1,woonhuis,10,4,5.227310669140413,"Jacob Honigstraat 5, 1035 XV Amsterdam, Netherlands",52.419555,4.8944223,,5,Jacob Honigstraat,1035XV,Noord,Oostzanerwerf,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1054 GG Amsterdam,Vondelstraat 68 -III,52.36170000,4.86690000,990000,127,467,2,1906,0,appartement,24,4,12.085615741751521,"Brederodestraat 15-2, 1054 MP Amsterdam, Netherlands",52.361808,4.86692,,15-2,Brederodestraat,1054MP,West,Helmersbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1066 JX Amsterdam,Brusselsingel 1,52.34600000,4.81630000,398800,120,412,3,1993,1,woonhuis,36,5,2.7080196663115323,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",52.3460233,4.8162884,Antwerpenbaan,,Laan van Vlaanderen,1066JL,Nieuw-West,Sloterpolder,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1068 KP Amsterdam,J. de Koostraat 5,52.35920000,4.80520000,32000,0,0,1,0,0,parkeergelegenheid,5,1,1.9680665618174287,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",52.3592167,4.8052096,,677,Osdorpplein,1068TC,Nieuw-West,Nieuw-West,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1093 HP Amsterdam,Reinwardtstraat 180,52.36180000,4.92800000,249000,50,155,1,1987,0,appartement,20,2,0,"Dappermarkt, Tweede van Swindenstraat, 1093 GS Amsterdam, Netherlands",52.363045150000005,4.92724532349044,Dappermarkt,,Tweede van Swindenstraat,1093GS,,Oost,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1094 CW Amsterdam,Delistraat 34 D,52.36260000,4.93600000,166500,27,67,1,1926,0,appartement,11,1,22.683970451466475,"Sumatrastraat 69, 1094 LR Amsterdam, Netherlands",52.362521,4.936308,,69,Sumatrastraat,1094LR,Oost,Indische Buurt West,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1023 XC Amsterdam,Molengouw 30,52.38990000,4.94700000,275000,67,240,3,1906,1,woonhuis,32,5,11.813501088095425,"Oudorperstraat 17-1, 1023 SR Amsterdam, Netherlands",52.38987,4.947167,,17-1,Oudorperstraat,1023SR,Noord,Tuindorp Nieuwendam,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1054 LK Amsterdam,Overtoom 545 C+D*,52.36170000,4.86690000,1700000,197,670,2,1961,0,appartement,31,4,12.085615741751521,"Brederodestraat 15-2, 1054 MP Amsterdam, Netherlands",52.361808,4.86692,,15-2,Brederodestraat,1054MP,West,Helmersbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1069 MD Amsterdam,Zuiderakerweg 15,52.35560000,4.79070000,685000,0,0,1,0,0,object,20,1,25.493785079984995,"Langswater 384, 1069 EC Amsterdam, Netherlands",52.355533,4.790341,,384,Langswater,1069EC,Nieuw-West,De Punt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1071 KX Amsterdam,Alexander Boersstraat 18 H,52.35520000,4.87890000,1425000,175,675,3,1894,1,appartement,42,7,19.593762206140674,"Wouwermanstraat 26-H, 1071 LZ Amsterdam, Netherlands",52.3550303,4.8789777,,26-H,Wouwermanstraat,1071LZ,Zuid,Zuid,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1071 XB Amsterdam,Ruysdaelstraat 79 A**,52.35520000,4.87890000,2285000,244,735,2,2017,1,appartement,10,5,19.593762206140674,"Wouwermanstraat 26-H, 1071 LZ Amsterdam, Netherlands",52.3550303,4.8789777,,26-H,Wouwermanstraat,1071LZ,Zuid,Zuid,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1018 TZ Amsterdam,Hortusplantsoen 14 hs,52.36760000,4.91840000,275000,36,135,1,1906,1,appartement,17,2,4.080374033250982,"Entrepotdoksluis 4, 1018 AW Amsterdam, Netherlands",52.367578,4.9184481,,4,Entrepotdoksluis,1018AW,Centrum,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1097 BR Amsterdam,Middenweg 50 I,52.34650000,4.93010000,400000,83,317,1,1925,0,appartement,21,3,2.796740279342611,"Darwinplantsoen 6, 1097 EX Amsterdam, Netherlands",52.3465023,4.930059,,6,Darwinplantsoen,1097EX,Oost,Oost,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1106 HJ Amsterdam,Mijehof 347,52.29910000,4.97540000,212500,108,310,3,1983,1,woonhuis,15,5,2.9495910662578444,"Pannerdenstraat, 1106 BG Amsterdam, Netherlands",52.2991825,4.9753742,Pannerdenstraat,,Pannerdenstraat,1106BG,,Zuidoost,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1102 XM Amsterdam,Dostojevskisingel 301,52.31660000,4.95170000,99500,35,91,1,1983,0,appartement,1,1,49.79663637578256,"Raoul Wallenberghofje 3, 1102 AH Amsterdam, Netherlands",52.316997,4.952039,,3,Raoul Wallenberghofje,1102AH,Zuidoost,Bijlmer Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1078 LJ Amsterdam,Roerstraat 47 III,52.34640000,4.89770000,419000,69,234,1,1906,0,appartement,21,3,11.344645539447924,"Churchill-laan 75D, 1078 DJ Amsterdam, Netherlands",52.3464982,4.8976547,,75D,Churchill-laan,1078DJ,Zuid,Zuid,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1087 GD Amsterdam,Zwanebloemlaan 93,52.35390000,5.00050000,825000,189,733,3,2008,1,woonhuis,45,7,14.547622573122053,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",52.353989,5.000657,,987,Maria Austriastraat,1087JB,Oost,IJburg West,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1071 PM Amsterdam,Nicolaas Maesstraat 5 - 4 hg,52.35520000,4.87890000,799000,100,330,1,1906,0,appartement,27,3,19.593762206140674,"Wouwermanstraat 26-H, 1071 LZ Amsterdam, Netherlands",52.3550303,4.8789777,,26-H,Wouwermanstraat,1071LZ,Zuid,Zuid,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1097 ES Amsterdam,Pasteurstraat 37 huis,52.34650000,4.93010000,775000,133,484,2,1902,1,appartement,24,6,2.796740279342611,"Darwinplantsoen 6, 1097 EX Amsterdam, Netherlands",52.3465023,4.930059,,6,Darwinplantsoen,1097EX,Oost,Oost,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1051 NV Amsterdam,Haarlemmerweg 235,52.38180000,4.87170000,375000,79,229,1,1996,0,appartement,17,3,4.222585482550074,"Van Beuningenstraat 194E, 1051 XZ Amsterdam, Netherlands",52.381764,4.8716802,,194E,Van Beuningenstraat,1051XZ,West,West,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1012 EZ Amsterdam,Oudezijds Voorburgwal 235 bel,52.37350000,4.89510000,665000,102,338,2,1906,0,appartement,25,4,21.629838672501716,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",52.373392,4.895365,,157,Warmoesstraat,1012JC,Centrum,Oudezijde,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
