postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1055 DK Amsterdam;Leeuwendael (Bouwnr. 14);52.38020000;4.85240000;422000;112;337;3;2017;1;woonhuis;12;5
1071 WH Amsterdam;Joh.M. Coenenstraat 64 PP;52.35520000;4.87890000;50000;0;0;1;0;0;parkeergelegenheid;5;1
1104 KN Amsterdam;Kraailookstraat 1;52.31640000;4.97760000;270000;131;360;3;2006;1;woonhuis;15;6
1017 LC Amsterdam;Prinsengracht 736 A*;52.36300000;4.89240000;650000;100;330;1;1906;0;appartement;18;3
1055 AX Amsterdam;Griseldestraat 28 II;52.38020000;4.85240000;250000;57;148;1;1931;0;appartement;25;3
1102 EE Amsterdam;Hofgeest 93;52.31660000;4.95170000;120000;66;204;1;1969;0;appartement;34;2
1052 VH Amsterdam;Gillis van Ledenberchstraat 34 B;52.37700000;4.87400000;695000;143;453;1;2010;0;appartement;32;3
1078 EK Amsterdam;Churchill-laan 70 huis;52.34640000;4.89770000;550000;83;271;1;1906;1;appartement;25;3
1018 WE Amsterdam;Roetersstraat 148;52.36760000;4.91840000;349000;70;221;1;1980;0;appartement;22;3
1058 AM Amsterdam;Stuyvesantstraat 34 I;52.35790000;4.85100000;265000;51;137;1;1926;0;appartement;22;3
1102 TS Amsterdam;Barbusselaan 99;52.31660000;4.95170000;129000;54;135;1;1986;1;appartement;19;2
1057 GG Amsterdam;Admiralengracht 138 I;52.36770000;4.85510000;275000;51;168;1;1925;0;appartement;15;2
1063 EL Amsterdam;Jan Janzenstraat 10;52.38140000;4.82590000;300000;133;451;3;1945;0;woonhuis;38;7
1087 Amsterdam;Joris Ivensplein;52.35390000;5.00050000;14500;0;0;1;0;0;parkeergelegenheid;3;1
1034 WD Amsterdam;Ibrahim Moustafapad 12;52.40750000;4.91700000;250000;87;300;1;1994;1;appartement;28;4
1072 JH Amsterdam;Cornelis Trooststraat 50 II;52.35350000;4.89020000;300000;53;174;1;1906;0;appartement;25;3
1072 JB Amsterdam;Cornelis Trooststraat 35 III;52.35350000;4.89020000;575000;120;355;1;1927;0;appartement;1;3
1016 RJ Amsterdam;Lauriergracht 107 A;52.37090000;4.88160000;600000;80;270;1;1906;1;appartement;20;2
1034 GA Amsterdam;Statenjachtstraat 159;52.40750000;4.91700000;260000;92;270;1;2011;0;appartement;31;3
1069 RR Amsterdam;Jan van Zutphenstraat 211;52.35560000;4.79070000;375000;70;185;11;2001;0;appartement;6;3
1019 PG Amsterdam;Bogortuin 84;52.37330000;4.93910000;550000;103;329;1;2000;0;appartement;39;3
1015 DW Amsterdam;Prinsengracht 26;52.37840000;4.88360000;1995000;168;597;5;1969;0;woonhuis;52;6
1072 TG Amsterdam;Van Ostadestraat 152 -sous;52.35350000;4.89020000;1075000;192;661;2;1902;1;appartement;24;6
1012 JS Amsterdam;Dam 5 /E;52.37350000;4.89510000;1250000;129;360;1;2017;0;appartement;20;3
1035 TS Amsterdam;Stoombootweg 19;52.41960000;4.89440000;799000;125;425;2;1984;1;woonhuis;42;3
1013 RW Amsterdam;Zaanstraat 113 huis;52.38770000;4.88390000;315000;55;158;1;1906;1;appartement;22;3
1093 DL Amsterdam;Pieter Vlamingstraat 167;52.36180000;4.92800000;275000;70;221;1;1992;0;appartement;48;3
1075 HL Amsterdam;De Lairessestraat 144 3;52.35180000;4.85860000;1595000;228;759;3;1906;0;appartement;33;6
1015 DR Amsterdam;Prinsengracht 151 E;52.37840000;4.88360000;799000;96;365;2;1005;0;appartement;28;3
1077 ES Amsterdam;Gerrit van der Veenstraat 132 -huis;52.34600000;4.87380000;975000;188;648;3;1927;1;appartement;30;6
1054 CT Amsterdam;Tweede Constantijn Huygensstraat 4 e;52.36170000;4.86690000;65000;0;0;1;0;0;parkeergelegenheid;1;1
1012 DJ Amsterdam;Oudezijds Achterburgwal 173 -B;52.37350000;4.89510000;250000;33;109;1;1770;0;appartement;19;1
1074 XT Amsterdam;Tweede Jan van der Heijdenstraat 91 D;52.35390000;4.90420000;440000;68;205;2;1880;0;appartement;21;4
1053 BX Amsterdam;Ten Katestraat 45 2;52.36680000;4.86810000;239000;42;136;1;1906;0;appartement;29;2
1106 SX Amsterdam;Parkhof 45;52.29910000;4.97540000;292500;122;325;3;1993;1;woonhuis;24;4
1012 WP Amsterdam;Singel 463 F;52.37350000;4.89510000;1500000;125;423;1;1997;0;appartement;20;2
1025 CW Amsterdam;Dijkwater 225;52.39900000;4.93610000;211000;0;0;1;0;0;onbekend;1;1
1062 CG Amsterdam;Theodoor van Hoytemastraat 25;52.35480000;4.83810000;347500;110;330;1;2003;0;appartement;22;4
1075 AA Amsterdam;Koningslaan;52.35180000;4.85860000;8500000;542;2318;5;1907;1;woonhuis;16;11
1072 TN Amsterdam;Eerste Jan van der Heijdenstraat 103 II;52.35350000;4.89020000;325000;50;158;1;1897;0;appartement;20;2
1017 GA Amsterdam;Kerkstraat 11 -C;52.36300000;4.89240000;499000;82;280;1;1906;0;appartement;22;3
1074 EN Amsterdam;Kuipersstraat 86 I-IV;52.35390000;4.90420000;750000;125;391;4;1906;1;appartement;37;5
1107 AX Amsterdam;Wethouder In 't Veldstraat 49;52.29320000;4.98030000;155000;65;202;1;1984;1;appartement;20;3
1107 PV Amsterdam;Toutenburgstraat 52;52.29320000;4.98030000;150000;70;210;4;1984;0;appartement;25;3
1017 JA Amsterdam;Kerkstraat 360 A;52.36300000;4.89240000;699027;122;396;3;1989;1;appartement;43;4
1087 EN Amsterdam;IJburglaan 933;52.35390000;5.00050000;385000;94;292;1;2009;0;appartement;16;3
1025 NP Amsterdam;Noord-Bevelandstraat 15;52.39900000;4.93610000;235000;64;310;2;1932;1;woonhuis;29;3
1058 CA Amsterdam;Curaçaostraat 82 I;52.35790000;4.85100000;295000;59;194;1;1935;0;appartement;18;4
1094 CW Amsterdam;Delistraat 28 hs;52.36260000;4.93600000;300000;55;229;1;1903;1;appartement;25;2
1095 MS Amsterdam;Zeeburger Zilt 2 (Bouwnr. 108);52.36660000;4.95200000;195500;42;105;1;2011;0;appartement;6;1
1011 NA Amsterdam;Valkenburgerstraat 138 -L;52.37100000;4.90410000;400000;122;342;1;2014;0;appartement;25;3
1055 DK Amsterdam;Leeuwendael (Bouwnr. 11);52.38020000;4.85240000;432000;112;337;3;2017;1;woonhuis;12;5
1053 LV Amsterdam;Nassaukade 333 -hs;52.36680000;4.86810000;595000;110;295;2;1906;0;appartement;33;4
1054 HG Amsterdam;Overtoom 147 II;52.36170000;4.86690000;650000;116;452;2;1882;0;appartement;30;4
1106 GP Amsterdam;Mijndenhof 62;52.29910000;4.97540000;289500;120;287;3;1981;1;woonhuis;21;5
1086 ZR Amsterdam;Zeeburgerbaai bwnr. 1 (Bouwnr. 0);52.36280000;4.98190000;620000;155;589;3;2017;1;woonhuis;7;5
1102 SR Amsterdam;Anna Blamansingel 1;52.31660000;4.95170000;239500;101;294;8;2006;0;appartement;18;3
1019 PE Amsterdam;Bogortuin 205;52.37330000;4.93910000;495000;117;361;1;1991;1;appartement;29;3
1069 HK Amsterdam;Lederambachtstraat 180;52.35560000;4.79070000;200000;84;252;1;2004;0;appartement;31;3
1012 EL Amsterdam;Oudezijds Voorburgwal 85 1;52.37350000;4.89510000;610000;85;280;1;1650;0;appartement;27;3
1059 WE Amsterdam;De Lierhof 40;52.34880000;4.84680000;425000;84;204;1;2001;0;appartement;19;3
1056 EP Amsterdam;Joos Banckersweg 14 2;52.37320000;4.85600000;300000;76;246;1;1939;0;appartement;33;3
1018 ZW Amsterdam;Windroosplein 198;52.36760000;4.91840000;400000;52;166;7;1989;0;appartement;22;2
1019 DN Amsterdam;Oostelijke Handelskade 1209;52.37330000;4.93910000;500000;94;265;1;1997;0;appartement;40;3
1013 GP Amsterdam;Korte Prinsengracht 73 III;52.38770000;4.88390000;430000;76;208;1;1960;0;appartement;31;3
1013 ER Amsterdam;Haarlemmerstraat 18 A;52.38770000;4.88390000;989000;159;441;4;1993;0;appartement;38;8
1072 JC Amsterdam;Cornelis Trooststraat 53 -II;52.35350000;4.89020000;325000;56;186;1;1904;0;appartement;11;3
1082 LT Amsterdam;Arent Janszoon Ernststraat;52.33110000;4.87420000;675000;118;310;5;2004;0;appartement;24;5
1057 BB Amsterdam;Orteliusstraat 24 II&III;52.36770000;4.85510000;455000;116;356;2;1931;0;appartement;31;6
1092 BV Amsterdam;Tweede Oosterparkstraat 318;52.35650000;4.92280000;595000;136;401;2;1892;0;appartement;29;4
1068 LZ Amsterdam;Osdorper Ban 285;52.35920000;4.80520000;199000;67;238;1;1960;0;appartement;20;3
1019 KJ Amsterdam;Borneolaan 218;52.37330000;4.93910000;335000;74;195;1;1990;0;appartement;24;3
1069 GA Amsterdam;Osdorper Ban 587;52.35560000;4.79070000;275000;92;290;12;2007;0;appartement;31;3
