postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1060 MB Amsterdam;Cycladenlaan 5;52.34910000;4.78350000;500000;160;615;4;2003;1;woonhuis;34;6
1071 CW Amsterdam;Van de Veldestraat 7 bv;52.35520000;4.87890000;1325000;193;608;2;1902;1;appartement;23;7
1061 BV Amsterdam;Blauwvoetstraat 14 I;52.37360000;4.83950000;192500;51;140;1;1952;0;appartement;19;3
1087 MN Amsterdam;Jan Vrijmanstraat 303;52.35390000;5.00050000;699000;166;675;4;2009;1;woonhuis;51;6
1068 PM Amsterdam;Oeverpad 568;52.35920000;4.80520000;339000;117;356;1;2005;0;appartement;27;3
1054 JC Amsterdam;Overtoom 296 *;52.36170000;4.86690000;1375000;225;800;3;1906;1;woonhuis;52;9
1011 LE Amsterdam;Oudeschans 100;52.37100000;4.90410000;1275000;159;630;2;1905;1;appartement;31;4
1056 XS Amsterdam;De Rijpgracht 51 I;52.37320000;4.85600000;275000;52;140;1;1931;0;appartement;28;3
1077 PS Amsterdam;Raphaëlstraat 14 I;52.34600000;4.87380000;700000;111;376;1;1906;0;appartement;22;3
1087 KA Amsterdam;Lisdoddelaan 58;52.35390000;5.00050000;1175000;249;918;3;2004;1;woonhuis;32;6
1071 TX Amsterdam;Pieter Baststraat 26 III&IV;52.35520000;4.87890000;750000;122;391;2;1905;1;appartement;38;5
1083 GR Amsterdam;Arent Janszoon Ernststraat 87;52.33020000;4.88440000;385000;111;333;1;1960;0;appartement;16;3
1055 RZ Amsterdam;Nieuwpoortstraat 94 B 17;52.38020000;4.85240000;264140;56;198;1;2017;0;appartement;20;2
1072 GZ Amsterdam;Rustenburgerstraat 427;52.35350000;4.89020000;510000;85;378;2;1906;0;appartement;30;2
1015 DS Amsterdam;Prinsengracht 187 B;52.37840000;4.88360000;895000;122;325;1;1750;0;appartement;21;3
1071 LX Amsterdam;Wouwermanstraat 14 II;52.35520000;4.87890000;1185000;204;794;3;1911;0;appartement;31;8
1083 KD Amsterdam;Beysterveld;52.33020000;4.88440000;45000;0;0;1;0;0;parkeergelegenheid;2;1
1068 MS Amsterdam;Professor J.H. Gunningstraat 55;52.35920000;4.80520000;250000;70;228;1;2007;0;appartement;20;3
1064 EE Amsterdam;Burgemeester Hogguerstraat 969;52.37420000;4.82180000;189000;0;0;1;0;0;onbekend;1;1
1035 PJ Amsterdam;Zuideinde 509;52.41960000;4.89440000;475000;71;285;1;1961;1;woonhuis;27;4
1058 AM Amsterdam;Stuyvesantstraat 52 III;52.35790000;4.85100000;265000;50;167;1;1906;0;appartement;17;3
1079 LX Amsterdam;Hoendiepstraat 48 II;52.34230000;4.90360000;395000;69;181;2;1934;0;appartement;27;3
1098 LB Amsterdam;Wethouder Frankeweg 36 2;52.35290000;4.94220000;0;68;235;1;1906;0;appartement;1;2
1012 JS Amsterdam;Dam 5 /g;52.37350000;4.89510000;1275000;128;360;1;2017;0;appartement;20;3
1086 Amsterdam;Smalschipstraat;52.36280000;4.98190000;615000;165;612;1;2017;1;woonhuis;8;5
1057 ET Amsterdam;Admiralengracht 119 -H;52.36770000;4.85510000;475000;106;263;2;2004;0;appartement;24;4
1015 JN Amsterdam;Goudsbloemstraat 191 E;52.37840000;4.88360000;310000;47;122;1;1905;0;appartement;21;2
1106 XK Amsterdam;Ommerenhof 44;52.29910000;4.97540000;215000;125;325;1;1976;0;appartement;21;5
1019 NA Amsterdam;Venetiëhof 47;52.37330000;4.93910000;589000;132;425;9;1994;0;appartement;25;5
1071 PD Amsterdam;De Lairessestraat 56 III;52.35520000;4.87890000;1050000;155;568;2;1913;0;appartement;35;5
1057 WS Amsterdam;Marco Polostraat 64 II;52.36770000;4.85510000;499000;103;329;4;1906;1;appartement;29;4
1087 KP Amsterdam;Julius Pergerstraat 240;52.35390000;5.00050000;295000;83;215;1;2007;0;appartement;24;3
1018 AW Amsterdam;Geschutswerf 41;52.36760000;4.91840000;800000;150;456;1;1906;0;appartement;25;3
1054 EL Amsterdam;Eerste Helmersstraat 188 -IV;52.36170000;4.86690000;225000;35;105;1;1906;1;appartement;26;2
1058 EP Amsterdam;Nachtwachtlaan 415;52.35790000;4.85100000;325000;98;250;1;1970;0;appartement;21;4
1021 NN Amsterdam;Buitendraaierij 38;52.38460000;4.91720000;255000;0;0;1;0;0;onbekend;1;1
1056 CN Amsterdam;Hoofdweg 333 I;52.37320000;4.85600000;250000;55;186;1;1927;0;appartement;23;2
1069 PB Amsterdam;Willy La Croixstraat 59;52.35560000;4.79070000;225000;90;309;2;1988;0;appartement;26;3
1013 KS Amsterdam;Grote Bickersstraat 46 PP40;52.38770000;4.88390000;65000;0;0;1;0;0;parkeergelegenheid;2;1
1107 JS Amsterdam;Schaarsbergenstraat 35;52.29320000;4.98030000;97500;36;94;1;1981;0;appartement;6;1
1079 BN Amsterdam;Uiterwaardenstraat 9 -II;52.34230000;4.90360000;369000;55;184;1;1934;0;appartement;23;3
1062 JT Amsterdam;Postjesweg 407;52.35480000;4.83810000;195000;83;267;1;1961;0;appartement;24;3
1104 HP Amsterdam;Komijnstraat 34;52.31640000;4.97760000;270000;98;340;2;2009;1;woonhuis;23;3
1025 MN Amsterdam;Willem Noorlanderkade 3;52.39900000;4.93610000;550000;165;495;4;1998;0;woonhuis;30;5
1024 MG Amsterdam;Zuiderzeepark 36;52.39390000;4.95470000;240000;72;227;1;1994;0;appartement;20;3
1053 SV Amsterdam;Jan Hanzenstraat 108 /III;52.36680000;4.86810000;185000;30;93;3;1906;0;appartement;22;1
1066 XT Amsterdam;Ottho Heldringstraat 35 E;52.34600000;4.81630000;325000;92;290;1;2010;0;appartement;17;3
1015 CD Amsterdam;Keizersgracht 35 I;52.37840000;4.88360000;815000;92;296;1;1906;0;appartement;23;3
1069 TR Amsterdam;Langswater 32;52.35560000;4.79070000;159000;71;230;1;1960;0;appartement;28;4
1025 NP Amsterdam;Noord-Bevelandstraat 21;52.39900000;4.93610000;225000;57;260;2;1931;1;woonhuis;29;3
1013 SB Amsterdam;Zaanstraat 278;52.38770000;4.88390000;425000;88;218;2;1918;0;appartement;20;3
1087 JE Amsterdam;Sem Presserhof 123;52.35390000;5.00050000;470000;133;412;3;2006;0;woonhuis;18;5
1095 AV Amsterdam;Molukkenstraat 57 IV;52.36660000;4.95200000;200000;45;138;1;1916;0;appartement;18;2
1018 WA Amsterdam;Jacob Burggraafstraat 36;52.36760000;4.91840000;330000;75;230;1;1990;0;appartement;18;4
1059 XN Amsterdam;Katwijkstraat 2 -II;52.34880000;4.84680000;300000;58;194;2;1933;0;appartement;26;3
1053 NH Amsterdam;Jacob van Lennepkade 320 III;52.36680000;4.86810000;259000;44;142;1;1903;0;appartement;18;2
1052 TW Amsterdam;Gillis van Ledenberchstraat 9 -3;52.37700000;4.87400000;225000;46;151;1;1915;0;appartement;20;2
1051 TV Amsterdam;Joan Melchior Kemperstraat 80 III;52.38180000;4.87170000;350000;65;161;2;1905;0;appartement;25;3
1060 RE Amsterdam;Ladogameerhof 148;52.34910000;4.78350000;245000;90;230;6;1999;0;appartement;20;4
1033 BS Amsterdam;Kometensingel 575;52.40920000;4.89020000;300000;91;311;3;1938;1;woonhuis;25;4
1017 JN Amsterdam;Prinsengracht 854 C;52.36300000;4.89240000;649000;79;210;1;1810;0;appartement;21;3
1013 SG Amsterdam;Zaanstraat 361;52.38770000;4.88390000;250000;44;126;1;1919;1;appartement;14;2
1053 LL Amsterdam;Nassaukade 161 G;52.36680000;4.86810000;250000;38;130;4;1900;0;appartement;21;2
1035 XE Amsterdam;Stentorstraat 95 1;52.41960000;4.89440000;195000;63;167;1;1956;0;appartement;20;3
1067 AH Amsterdam;Cornelis Roobolstraat 37;52.37860000;4.79870000;250000;75;218;2;1945;1;woonhuis;18;4
1013 TN Amsterdam;Knollendamstraat 6 D;52.38770000;4.88390000;149000;24;77;1;1884;0;appartement;15;1
1055 AK Amsterdam;Elckerlijcstraat 23;52.38020000;4.85240000;369000;83;250;1;2008;0;appartement;16;3
1012 JD Amsterdam;Warmoesstraat 16 P;52.37350000;4.89510000;550000;94;322;2;1906;0;appartement;21;3
1066 XT Amsterdam;Ottho Heldringstraat 33 C;52.34600000;4.81630000;395000;135;467;2;2009;1;appartement;30;5
1094 LW Amsterdam;Sumatrastraat 145 D;52.36260000;4.93600000;324011;67;222;1;1982;0;appartement;28;3
1097 WH Amsterdam;Ploegstraat 54;52.34650000;4.93010000;295000;68;261;2;1925;1;appartement;23;3
1033 LD Amsterdam;Mandarijnenstraat 14 I;52.40920000;4.89020000;150000;43;130;1;1952;0;appartement;16;2
1105 AE Amsterdam;Holendrechterweg 66 A;52.29770000;4.95620000;349000;0;0;1;0;0;onbekend;1;1
1057 GG Amsterdam;Admiralengracht 140 3;52.36770000;4.85510000;258800;51;170;1;1930;0;appartement;36;3
1066 KA Amsterdam;Dilsenstraat 3;52.34600000;4.81630000;379500;104;257;2;1992;1;woonhuis;38;5
1034 ET Amsterdam;Statenjachtstraat 412;52.40750000;4.91700000;160000;58;195;1;1967;0;appartement;32;2
1083 CR Amsterdam;Van Heenvlietlaan 390 III;52.33020000;4.88440000;349000;106;333;1;1960;0;appartement;22;3
1022 KD Amsterdam;Noorderkwartier (Bouwnr. 49);52.39870000;4.92990000;368812;120;300;2;2016;1;woonhuis;2;5
1056 HD Amsterdam;Bestevâerstraat 3 II;52.37320000;4.85600000;400000;80;275;1;1920;0;appartement;15;3
1061 BJ Amsterdam;Leeuwendalersweg 640;52.37360000;4.83950000;339000;95;260;1;2008;0;appartement;22;4
1077 VS Amsterdam;Stadionkade 70 III;52.34600000;4.87380000;675000;132;360;2;1931;0;appartement;36;3
1055 RZ Amsterdam;Nieuwpoortstraat 86 B8;52.38020000;4.85240000;415000;83;294;1;2017;1;appartement;20;2
1083 GC Amsterdam;Weerdestein 49;52.33020000;4.88440000;420000;111;290;1;1968;0;appartement;19;5
1054 DV Amsterdam;Eerste Helmersstraat 197 IV hg;52.36170000;4.86690000;375000;71;220;5;1910;0;appartement;10;2
1015 AG Amsterdam;Singel 136 D;52.37840000;4.88360000;850000;107;325;1;1800;0;appartement;22;3
1017 TP Amsterdam;Eerste Weteringdwarsstraat 54 C;52.36300000;4.89240000;525000;74;221;1;2004;0;appartement;26;3
1057 HB Amsterdam;Van Speijkstraat 22 -3;52.36770000;4.85510000;290000;71;218;1;1923;0;appartement;14;3
1056 XP Amsterdam;De Rijpgracht 11 1;52.37320000;4.85600000;285000;0;0;1;0;0;onbekend;1;1
1094 NH Amsterdam;Sumatrastraat 72 -G;52.36260000;4.93600000;195000;30;75;1;1906;0;appartement;6;2
1097 BN Amsterdam;Middenweg 30 -2;52.34650000;4.93010000;875000;163;525;2;1898;0;appartement;32;4
1056 BK Amsterdam;Jan van Galenstraat 115 F;52.37320000;4.85600000;300000;64;170;1;1920;0;appartement;15;3
1060 PJ Amsterdam;Ladogameerhof 102;52.34910000;4.78350000;225000;72;185;1;1999;0;appartement;1;3
1072 NC Amsterdam;Eerste Jan Steenstraat 57;52.35350000;4.89020000;275000;53;180;1;1965;0;appartement;33;3
1015 BR Amsterdam;Herengracht 78;52.37840000;4.88360000;1950000;0;0;1;0;0;onbekend;1;1
1057 EH Amsterdam;Postjesweg 114 HS;52.36770000;4.85510000;349000;75;188;1;1931;1;appartement;18;3
1087 AZ Amsterdam;Johan van der Keukenstraat;52.35390000;5.00050000;0;0;0;1;0;0;parkeergelegenheid;1;1
1081 CB Amsterdam;Nieuwerhoek 48;52.32780000;4.86200000;549000;117;412;2;1963;1;woonhuis;19;6
1066 ET Amsterdam;Akerpolderstraat 31;52.34600000;4.81630000;85000;18;47;1;1921;0;appartement;18;1
1103 JX Amsterdam;Bijlmerdreef 1280;52.32310000;4.97220000;159500;64;185;1;2001;0;appartement;18;2
1013 AW Amsterdam;Silodam 307 P;52.38770000;4.88390000;39000;0;0;1;0;0;parkeergelegenheid;2;1
1106 DH Amsterdam;Veldhuizenstraat 16;52.29910000;4.97540000;199000;0;0;1;0;0;onbekend;1;1
1034 ST Amsterdam;Voordek 26;52.40750000;4.91700000;0;92;232;1;1980;0;appartement;9;4
1017 JZ Amsterdam;Prinsengracht 765;52.36300000;4.89240000;2600000;173;519;1;1960;0;appartement;13;3
1075 TB Amsterdam;Sluisstraat 29 III;52.35180000;4.85860000;400000;77;241;4;1910;0;appartement;43;3
1013 Amsterdam;Narva Eiland West (Bouwnr. 73);52.38770000;4.88390000;679718;168;420;2;2017;0;woonhuis;10;5
1016 DV Amsterdam;Keizersgracht 225 A;52.37090000;4.88160000;899000;96;415;2;1746;0;appartement;34;3
1022 KD Amsterdam;Noorderkwartier (Bouwnr. 21);52.39870000;4.92990000;452396;160;400;2;2016;1;woonhuis;5;6
1069 NR Amsterdam;Romerostraat 58;52.35560000;4.79070000;299000;95;318;2;1989;1;woonhuis;27;3
1063 CD Amsterdam;Fritz Conijnstraat 22 II;52.38140000;4.82590000;175000;58;195;1;1955;0;appartement;31;3
1077 MB Amsterdam;Albrecht Dürerstraat 44 I;52.34600000;4.87380000;670000;111;376;1;1931;0;appartement;19;5
1013 HZ Amsterdam;Binnen Oranjestraat 23 III+IV;52.38770000;4.88390000;500000;85;250;2;1995;0;appartement;14;4
1018 AR Amsterdam;Waaigat 7;52.36760000;4.91840000;335000;73;225;1;1988;0;appartement;25;3
1067 JS Amsterdam;Lambertus Zijlplein 14;52.37860000;4.79870000;225000;90;270;20;2001;0;appartement;10;3
1035 AV Amsterdam;Torenmolen 4;52.41960000;4.89440000;10000;0;0;1;0;0;parkeergelegenheid;1;1
1051 TT Amsterdam;Joan Melchior Kemperstraat 54 G;52.38180000;4.87170000;350000;68;184;1;1905;0;appartement;21;3
1015 ND Amsterdam;Anjeliersstraat 29 B (*);52.37840000;4.88360000;550000;85;253;1;1994;1;appartement;20;3
1034 XE Amsterdam;Buiksloterbreek 109;52.40750000;4.91700000;425000;117;385;3;1993;1;woonhuis;36;6
1069 EC Amsterdam;Langswater 371;52.35560000;4.79070000;150000;72;230;1;1965;0;appartement;19;4
1087 BV Amsterdam;Oeverzeggestraat 20;52.35390000;5.00050000;549000;132;480;2;2005;1;woonhuis;33;5
1086 ZM Amsterdam;James Bradleystraat 10;52.36280000;4.98190000;599000;179;708;3;2009;1;woonhuis;43;4
1056 PV Amsterdam;Orteliusstraat 362 I;52.37320000;4.85600000;300000;54;175;1;1931;0;appartement;26;3
1011 AN Amsterdam;Prins Hendrikkade 126 hs;52.37100000;4.90410000;650000;112;478;1;1906;1;appartement;25;3
1094 GR Amsterdam;Madurastraat 70 1;52.36260000;4.93600000;235000;50;182;4;1906;0;appartement;15;2
1012 AE Amsterdam;Prins Hendrikkade 78 H;52.37350000;4.89510000;300000;52;165;2;1979;0;appartement;24;2
1078 NT Amsterdam;Rooseveltlaan 168 III;52.34640000;4.89770000;850000;163;560;3;1930;0;appartement;31;6
1017 WJ Amsterdam;Utrechtsedwarsstraat 120 -B;52.36300000;4.89240000;575000;85;229;1;1923;0;appartement;12;3
1055 RZ Amsterdam;Nieuwpoortstraat 86 A7;52.38020000;4.85240000;425000;89;314;1;2017;0;appartement;19;2
1069 RL Amsterdam;Evertsweertplantsoen 70;52.35560000;4.79070000;235000;72;180;8;2008;0;appartement;11;3
1060 PJ Amsterdam;Ladogameerhof 95 3;52.34910000;4.78350000;210000;78;218;1;1998;0;appartement;11;3
1024 LW Amsterdam;Waterlandplein 20 F;52.39390000;4.95470000;450000;112;366;2;2011;1;appartement;21;3
1082 ME Amsterdam;Gustav Mahlerlaan 286;52.33110000;4.87420000;2925000;341;1646;2;2008;1;appartement;53;7
1095 MS Amsterdam;Zeeburger Zilt 2 (Bouwnr. 122);52.36660000;4.95200000;257897;72;180;1;2011;0;appartement;3;2
1052 KC Amsterdam;Van Oldenbarneveldtstraat 52 D;52.37700000;4.87400000;450000;79;225;1;2006;0;appartement;17;3
1072 CB Amsterdam;Saenredamstraat 29 E;52.35350000;4.89020000;499000;82;264;2;1906;0;appartement;26;3
1082 HX Amsterdam;Van Nijenrodeweg 621;52.33110000;4.87420000;159000;33;88;1;1965;0;appartement;18;2
1066 PW Amsterdam;Kempenlaan;52.34600000;4.81630000;22500;0;0;1;0;0;parkeergelegenheid;4;1
1077 TK Amsterdam;Minervaplein 31 I;52.34600000;4.87380000;690000;112;319;1;1957;0;appartement;23;4
