postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1058 TE Amsterdam;Woestduinstraat 24;52.35790000;4.85100000;645000;115;300;2;1956;0;appartement;22;4
1022 KD Amsterdam;Noorderkwartier (Bouwnr. 39);52.39870000;4.92990000;492396;139;348;2;2016;1;woonhuis;3;5
1024 BC Amsterdam;Jisperveldstraat 566;52.39390000;4.95470000;190000;84;260;1;1968;0;appartement;18;4
1108 DD Amsterdam;Leusdenhof 165;52.30820000;4.98070000;250000;0;0;1;0;0;onbekend;1;1
1028 BH Amsterdam;Bloemendalergouw 43;52.40140000;5.00730000;975000;124;419;3;1973;1;woonhuis;23;6
1058 KK Amsterdam;Haarlemmermeerstraat 158 hs;52.35790000;4.85100000;550000;145;420;2;1929;1;appartement;27;5
1071 TZ Amsterdam;Balthasar Floriszstraat 9 huis;52.35520000;4.87890000;725000;107;402;2;1899;1;appartement;20;5
1012 GM Amsterdam;Oudezijds Voorburgwal 316 G;52.37350000;4.89510000;925000;180;370;1;1906;0;appartement;29;3
1051 HR Amsterdam;Eerste Keucheniusstraat 20 -HS;52.38180000;4.87170000;325000;58;209;1;1912;1;appartement;16;3
1067 JR Amsterdam;Lambertus Zijlplein 109;52.37860000;4.79870000;300000;105;325;1;2004;0;appartement;35;4
1107 DH Amsterdam;Wethouder Vospad 20;52.29320000;4.98030000;235000;90;300;3;1986;1;woonhuis;17;5
1076 CG Amsterdam;Stadionplein 23 -III;52.34550000;4.86070000;400000;80;283;2;1906;0;appartement;22;4
1066 MR Amsterdam;Laan van Vlaanderen 178;52.34600000;4.81630000;250000;74;215;1;1993;0;appartement;16;3
1034 BR Amsterdam;Botterstraat 31;52.40750000;4.91700000;295000;94;345;2;1989;1;woonhuis;30;4
1017 LC Amsterdam;Prinsengracht 736 A;52.36300000;4.89240000;750000;100;330;1;1906;0;appartement;20;3
1064 CT Amsterdam;Burgemeester Hogguerstraat 435;52.37420000;4.82180000;37500;0;0;1;0;0;parkeergelegenheid;6;1
1066 NN Amsterdam;Vorselaarstraat 6;52.34600000;4.81630000;300000;102;284;2;1992;1;woonhuis;27;3
1082 KT Amsterdam;Willem van Weldammelaan 81;52.33110000;4.87420000;1850000;271;855;1;2008;0;appartement;28;5
1060 PH Amsterdam;Ortler 45;52.34910000;4.78350000;399000;140;460;3;1996;1;woonhuis;30;6
1075 VZ Amsterdam;Amstelveenseweg 149 3;52.35180000;4.85860000;375000;59;236;5;1906;0;appartement;21;3
1082 XN Amsterdam;Doddendaal 15;52.33110000;4.87420000;159000;34;129;1;1963;1;appartement;17;2
