postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1011 TZ Amsterdam;Rapenburg 78;52.37100000;4.90410000;399000;58;135;1;1906;0;appartement;17;2
1096 DT Amsterdam;STATE Amsterdam (Bouwnr. 302);52.33870000;4.91970000;1378018;220;550;1;2017;0;appartement;1;5
1087 CL Amsterdam;IJburglaan 831;52.35390000;5.00050000;299000;0;0;1;0;0;onbekend;1;1
1069 SC Amsterdam;Pieter Calandlaan 1049;52.35560000;4.79070000;275000;103;268;1;2006;0;appartement;25;3
1016 ES Amsterdam;Huidenstraat 10 A;52.37090000;4.88160000;750000;135;424;3;1906;0;appartement;26;4
1055 PS Amsterdam;Haarlemmerweg 651 HS;52.38020000;4.85240000;299000;64;230;1;1934;1;appartement;16;3
1055 PH Amsterdam;Van Gentstraat 38 -1;52.38020000;4.85240000;225000;49;153;1;1938;0;appartement;17;3
1011 MH Amsterdam;Valkenburgerstraat 151;52.37100000;4.90410000;350000;70;206;1;1998;0;appartement;22;3
1082 VW Amsterdam;Wijenburg 84;52.33110000;4.87420000;275000;77;200;1;1963;0;appartement;17;4
1077 LX Amsterdam;Albrecht Dürerstraat 41 II;52.34600000;4.87380000;1200000;193;637;3;1930;1;appartement;26;8
1078 HZ Amsterdam;Deurloostraat 10 -I;52.34640000;4.89770000;440000;86;232;1;1906;0;appartement;32;3
1012 GL Amsterdam;Oudezijds Voorburgwal 310 A;52.37350000;4.89510000;515000;75;272;1;1906;0;appartement;20;2
1056 BK Amsterdam;Jan van Galenstraat 111 B;52.37320000;4.85600000;299000;71;222;1;1923;0;appartement;20;2
1067 TC Amsterdam;Osdorperweg 824 D;52.37860000;4.79870000;449000;163;473;3;1998;1;woonhuis;19;6
1091 MS Amsterdam;Ruyschstraat 357;52.35560000;4.91350000;325000;57;179;1;1900;0;appartement;30;3
1103 JW Amsterdam;Bijlmerdreef 1218;52.32310000;4.97220000;175000;79;233;1;2001;0;appartement;10;3
1012 NC Amsterdam;Sint Jacobsstraat 5 A;52.37350000;4.89510000;329000;62;170;1;1991;0;appartement;20;3
1011 AN Amsterdam;Prins Hendrikkade 127 F;52.37100000;4.90410000;625000;119;295;2;1906;0;appartement;35;5
1064 MN Amsterdam;Nannie van Wehlstraat 3;52.37420000;4.82180000;250000;88;320;1;1988;0;woonhuis;1;3
1052 LP Amsterdam;Hugo de Grootkade 8 A2;52.37700000;4.87400000;239000;41;135;1;1890;0;appartement;23;1
1053 DD Amsterdam;Kinkerstraat 43 II-voor;52.36680000;4.86810000;199000;30;90;5;1886;0;appartement;27;2
1058 KJ Amsterdam;Haarlemmermeerstraat 146 I;52.35790000;4.85100000;325000;55;180;1;1930;0;appartement;15;3
1060 PJ Amsterdam;Ladogameerhof 84;52.34910000;4.78350000;249000;83;225;4;1999;0;appartement;13;3
1025 WB Amsterdam;Buiksloterdijk 146;52.39900000;4.93610000;1200000;182;627;3;1892;1;woonhuis;66;6
1024 EZ Amsterdam;Grootslagstraat 29;52.39390000;4.95470000;300000;90;257;1;2008;0;woonhuis;1;4
1066 GE Amsterdam;Duke Ellingtonstraat 50;52.34600000;4.81630000;260000;80;244;1;1991;0;appartement;25;3
1066 KG Amsterdam;Diepenbeekplantsoen 67;52.34600000;4.81630000;359000;135;365;3;1991;1;woonhuis;26;6
1061 BV Amsterdam;Blauwvoetstraat 16 III;52.37360000;4.83950000;201500;51;140;1;1952;0;appartement;18;3
1075 BH Amsterdam;Valeriusplein 14 A;52.35180000;4.85860000;1450000;138;491;2;1906;1;appartement;38;5
1025 CW Amsterdam;Dijkwater 239;52.39900000;4.93610000;199000;66;207;1;1980;0;appartement;25;2
1068 MK Amsterdam;Osdorper Ban 90 A8;52.35920000;4.80520000;199500;78;235;1;2003;0;appartement;14;2
1072 HM Amsterdam;Dusartstraat 25 hs;52.35350000;4.89020000;385000;63;266;1;1991;0;appartement;20;2
1016 AD Amsterdam;Singel 286 D;52.37090000;4.88160000;539000;91;276;3;1906;1;appartement;31;3
