postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1015 AK Amsterdam;Langestraat 31;52.37840000;4.88360000;895000;164;450;4;1700;0;woonhuis;42;5
1018 LZ Amsterdam;Kleine Wittenburgerstraat 124;52.36760000;4.91840000;275000;56;189;1;1981;0;appartement;27;2
1073 TB Amsterdam;Karel du Jardinstraat 53 HS+PP;52.35320000;4.89820000;550000;83;328;1;2000;1;appartement;39;3
1073 XA Amsterdam;Gerard Doustraat 190 III;52.35320000;4.89820000;375000;69;222;1;1880;0;appartement;18;2
1067 MT Amsterdam;Jan van Duivenvoordestraat 137;52.37860000;4.79870000;249000;97;295;1;2002;0;appartement;22;4
1017 BM Amsterdam;Reguliersdwarsstraat 46 -D*;52.36300000;4.89240000;650000;96;290;1;1999;0;appartement;26;3
1108 CD Amsterdam;Leerdamhof 334;52.30820000;4.98070000;160000;71;180;1;1976;1;appartement;28;2
1077 NS Amsterdam;Minervalaan 71 -hs;52.34600000;4.87380000;1150000;131;445;1;1930;1;appartement;22;5
1066 TK Amsterdam;Blankenbergestraat 61;52.34600000;4.81630000;450000;170;500;3;1995;1;woonhuis;36;5
1057 PT Amsterdam;Van Kinsbergenstraat 88;52.36770000;4.85510000;400000;73;235;1;2011;0;appartement;35;3
1054 ZH Amsterdam;Jacob van Lennepkade 71 H;52.36170000;4.86690000;700000;104;252;4;1895;1;appartement;34;4
1074 GA Amsterdam;Diamantstraat 17 / A-1;52.35390000;4.90420000;420000;84;238;1;1906;0;appartement;16;4
1013 Amsterdam;Houthavenweg;52.38770000;4.88390000;454761;93;260;1;2017;0;appartement;9;3
1011 MK Amsterdam;Rapenburgerstraat;52.37100000;4.90410000;60000;0;0;1;0;0;parkeergelegenheid;1;1
1011 KN Amsterdam;'s-Gravelandse Veer 10 SOUS;52.37100000;4.90410000;450000;77;308;5;1850;0;appartement;20;2
1052 VL Amsterdam;Gillis van Ledenberchstraat 128 I;52.37700000;4.87400000;325000;60;180;5;1931;0;appartement;26;3
1108 DT Amsterdam;Leusdenhof 347;52.30820000;4.98070000;177500;75;266;1;1980;1;appartement;19;3
1012 JS Amsterdam;Dam 5 /N;52.37350000;4.89510000;2850000;211;580;1;2017;0;appartement;20;4
1013 Amsterdam;Narva Eiland West (Bouwnr. 80);52.38770000;4.88390000;1037459;170;425;1;2017;0;appartement;8;4
1068 ZW Amsterdam;Geer Ban 29;52.35920000;4.80520000;375000;132;459;2;2009;1;woonhuis;31;5
1058 GD Amsterdam;Andreasplein 34;52.35790000;4.85100000;650000;115;364;1;2010;1;appartement;21;4
1017 GJ Amsterdam;Kerkstraat 205 -B;52.36300000;4.89240000;499000;74;245;2;1906;0;appartement;16;3
1071 VN Amsterdam;Cornelis Anthoniszstraat 11 II;52.35520000;4.87890000;395000;53;175;1;1899;0;appartement;21;3
1033 XG Amsterdam;Perseusstraat 10;52.40920000;4.89020000;200000;84;210;2;1958;1;appartement;28;4
1064 CK Amsterdam;Burgemeester Hogguerstraat 15;52.37420000;4.82180000;47500;0;0;1;0;0;parkeergelegenheid;8;1
1069 EE Amsterdam;Langswater 601;52.35560000;4.79070000;169011;73;175;1;1960;0;appartement;16;4
