postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1011 PG Amsterdam;Waterlooplein 383;52.37100000;4.90410000;250000;35;109;1;1906;0;appartement;15;1
1094 GE Amsterdam;Madurastraat 35 -I;52.36260000;4.93600000;275000;52;164;1;1910;0;appartement;30;3
1059 EA Amsterdam;Heemstedestraat 47 -2;52.34880000;4.84680000;275000;54;150;1;1931;0;appartement;18;3
1013 AW Amsterdam;Silodam 315;52.38770000;4.88390000;1500000;234;805;2;2002;0;appartement;35;6
1055 PK Amsterdam;Haarlemmerweg 481 F;52.38020000;4.85240000;359000;82;254;1;1988;0;appartement;15;4
1015 HR Amsterdam;Palmstraat 85 Huis;52.37840000;4.88360000;239000;37;100;1;1906;1;appartement;21;2
1093 CN Amsterdam;Wagenaarstraat 171;52.36180000;4.92800000;290000;58;190;5;1906;0;appartement;35;4
1087 LP Amsterdam;Annie Boshof 2;52.35390000;5.00050000;419000;114;408;2;2010;1;woonhuis;22;5
1052 TW Amsterdam;Gillis van Ledenberchstraat 9 -1;52.37700000;4.87400000;225000;46;149;1;1915;0;appartement;19;2
1091 EA Amsterdam;Weesperzijde 5 bv;52.35560000;4.91350000;1195000;170;495;2;1880;0;appartement;20;5
1066 CS Amsterdam;Sloterweg 1042;52.34600000;4.81630000;1249999;260;800;3;1936;1;woonhuis;31;8
1017 DM Amsterdam;Keizersgracht 489 A 2.;52.36300000;4.89240000;575000;80;220;1;1971;1;appartement;17;2
1077 SR Amsterdam;Stadionweg 98 3;52.34600000;4.87380000;1250000;260;931;3;1930;0;appartement;55;7
1025 KM Amsterdam;Rode Kruisstraat 51;52.39900000;4.93610000;33500;0;0;1;0;0;parkeergelegenheid;5;1
1054 XC Amsterdam;Kanaalstraat 113 -hs;52.36170000;4.86690000;819000;111;361;1;1904;1;appartement;43;3
1082 JW Amsterdam;Slangenburg 20;52.33110000;4.87420000;62500;0;0;1;0;0;parkeergelegenheid;1;1
1016 HN Amsterdam;Prinsengracht 455;52.37090000;4.88160000;1000000;93;275;5;1906;0;woonhuis;38;6
1087 LG Amsterdam;Eva Besnyöstraat 357;52.35390000;5.00050000;282500;82;300;1;2007;1;appartement;23;3
1087 KA Amsterdam;Lisdoddelaan 10;52.35390000;5.00050000;1300000;236;660;2;2007;1;woonhuis;26;7
1057 HP Amsterdam;Baarsjesweg 175 -1;52.36770000;4.85510000;290000;68;204;1;1923;0;appartement;17;3
1053 NP Amsterdam;Jacob van Lennepkade 418 I;52.36680000;4.86810000;275000;46;188;1;1912;0;appartement;22;3
1019 DK Amsterdam;Entrepothof 58;52.37330000;4.93910000;325000;84;257;1;1990;0;appartement;20;3
1060 RN Amsterdam;Ecuplein 18;52.34910000;4.78350000;249000;90;263;1;1999;0;appartement;23;3
1057 RV Amsterdam;Magalhaensstraat 20 HS;52.36770000;4.85510000;325000;66;182;1;1906;1;appartement;15;3
