original_postalcode,original_street,original_lat,original_lng,original_price,original_area,original_volume,original_floors,original_year_build,original_has_garden,original_type,original_photos,original_rooms,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,state,country,country_code,attribution,attribution_license,attribution_url
1054 KJ Amsterdam,Overtoom 502 hs,52.36170000,4.86690000,775000,118,322,1,1911,1,appartement,35,5,12.085615741751521,"Brederodestraat 15-2, 1054 MP Amsterdam, Netherlands",52.361808,4.86692,,15-2,Brederodestraat,1054MP,West,Helmersbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1098 SE Amsterdam,Lord Kelvinstraat 13 2,52.35290000,4.94220000,260000,67,160,1,1955,0,appartement,19,3,5.359207257903827,"Voltaplein 42, 1098 NS Amsterdam, Netherlands",52.3529478,4.9421899,,42,Voltaplein,1098NS,Oost,Oost,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1082 MS Amsterdam,Gustav Mahlerplein 147,52.33110000,4.87420000,845000,157,560,1,2010,0,appartement,53,4,14.773310690004186,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",52.3309672,4.8742065,,197,Doddendaal,1082XT,Zuid,Buitenveldert,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1094 HL Amsterdam,Javastraat 76 IV,52.36260000,4.93600000,300000,59,145,4,1903,0,appartement,23,2,22.683970451466475,"Sumatrastraat 69, 1094 LR Amsterdam, Netherlands",52.362521,4.936308,,69,Sumatrastraat,1094LR,Oost,Indische Buurt West,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1066 SC Amsterdam,Belgiëplein 100,52.34600000,4.81630000,250000,80,232,1,1994,0,appartement,16,3,2.7080196663115323,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",52.3460233,4.8162884,Antwerpenbaan,,Laan van Vlaanderen,1066JL,Nieuw-West,Sloterpolder,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1095 CL Amsterdam,Javastraat 164 -IV,52.36660000,4.95200000,215000,38,80,1,1925,0,appartement,25,2,6.439024133897987,"Zeeburgerdijk 585, 1095 AE Amsterdam, Netherlands",52.36658,4.952089,,585,Zeeburgerdijk,1095AE,Oost,Indische Buurt Oost,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1012 EW Amsterdam,Oudezijds Voorburgwal 187 C,52.37350000,4.89510000,450000,87,220,4,1906,0,appartement,18,2,21.629838672501716,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",52.373392,4.895365,,157,Warmoesstraat,1012JC,Centrum,Oudezijde,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1067 TC Amsterdam,Osdorperweg 824 D,52.37860000,4.79870000,449000,163,473,3,1998,1,woonhuis,25,7,18.895369031063424,"Strackéstraat 8, 1067 KR Amsterdam, Netherlands",52.37863,4.798974,,8,Strackéstraat,1067KR,Nieuw-West,Geuzenveld,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1091 TM Amsterdam,Overamstelstraat 63,52.35560000,4.91350000,475000,97,293,1,1991,0,appartement,30,4,5.562369844050275,"Derde Oosterparkstraat 11E, 1091 JS Amsterdam, Netherlands",52.3556497,4.9135093,,11E,Derde Oosterparkstraat,1091JS,Oost,Oost,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1060 RE Amsterdam,Ladogameerhof 154,52.34910000,4.78350000,239000,88,164,1,1998,0,appartement,1,4,2.700931735231882,"De Alpen, 1060 PH Amsterdam, Netherlands",52.3502145,4.780774,De Alpen,,De Alpen,1060PH,,De Aker,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1098 WS Amsterdam,Praterlaan 86,52.35290000,4.94220000,350000,96,278,1,2001,0,appartement,19,3,5.359207257903827,"Voltaplein 42, 1098 NS Amsterdam, Netherlands",52.3529478,4.9421899,,42,Voltaplein,1098NS,Oost,Oost,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1032 LL Amsterdam,Ridderspoorweg 259,52.39640000,4.91260000,250000,45,115,1,2016,0,appartement,21,1,13.57212487812395,"Heggerankweg 89-1, 1032 JC Amsterdam, Netherlands",52.396469,4.912765,,89-1,Heggerankweg,1032JC,Noord,Volewijck,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1064 CT Amsterdam,Burgemeester Hogguerstraat 473,52.37420000,4.82180000,160000,45,150,1,1965,0,appartement,23,2,6.234539033066015,"A.J. Krophollerstraat 6, 1064 DB Amsterdam, Netherlands",52.3742289,4.8217213,,6,A.J. Krophollerstraat,1064DB,,Nieuw-West,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1055 CB Amsterdam,Esmoreitstraat 41 huis,52.38020000,4.85240000,269000,52,150,1,1945,1,appartement,21,2,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
