original_postalcode,original_street,original_lat,original_lng,original_price,original_area,original_volume,original_floors,original_year_build,original_has_garden,original_type,original_photos,original_rooms,distance,formatted,lat,lon,housenumber,name,street,district,postcode,suburb,city,state,country,country_code,attribution,attribution_license,attribution_url
1108 GA Amsterdam,Leksmondhof 279 .,52.30820000,4.98070000,239000,100,372,9,1979,0,appartement,15,4,60.948473119679264,"Openbare Daltonschool Nellestein, Leksmondplein 31, 1108 EL Amsterdam, Netherlands",52.308666,4.980228,31,Openbare Daltonschool Nellestein,Leksmondplein,Zuidoost,1108EL,Nellestein,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1012 GM Amsterdam,Oudezijds Voorburgwal 316 G,52.37350000,4.89510000,925000,180,370,1,1906,0,appartement,29,3,21.629838672501716,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",52.373392,4.895365,157,,Warmoesstraat,Centrum,1012JC,Oudezijde,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1098 VJ Amsterdam,Hertzstraat 10,52.35290000,4.94220000,475000,108,310,1,1994,0,appartement,23,4,5.359207257903827,"Voltaplein 42, 1098 NS Amsterdam, Netherlands",52.3529478,4.9421899,42,,Voltaplein,Oost,1098NS,Oost,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1096 AA Amsterdam,Omval 77,52.33870000,4.91970000,420000,95,316,1,1997,0,appartement,23,3,0.9954410102966944,"Amstelvlietstraat 408, 1096 GG Amsterdam, Netherlands",52.3387075,4.919692,408,,Amstelvlietstraat,Oost,1096GG,De Omval,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1016 HJ Amsterdam,Prinsengracht 292 1-4,52.37090000,4.88160000,1300000,177,538,4,1915,1,appartement,32,7,0,"Canal Ring Area of Amsterdam, Konijnenstraat 20, 1021 HR Amsterdam, Netherlands",52.3709412,4.8817323,20,Canal Ring Area of Amsterdam,Konijnenstraat,,1021HR,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1067 WK Amsterdam,H.J. Algrastraat 3,52.37860000,4.79870000,275000,107,300,2,1990,1,woonhuis,25,4,18.895369031063424,"Strackéstraat 8, 1067 KR Amsterdam, Netherlands",52.37863,4.798974,8,,Strackéstraat,Nieuw-West,1067KR,Geuzenveld,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1054 ZE Amsterdam,Jacob van Lennepkade 31 hs,52.36170000,4.86690000,900000,136,490,2,1906,1,appartement,29,3,12.085615741751521,"Brederodestraat 15-2, 1054 MP Amsterdam, Netherlands",52.361808,4.86692,15-2,,Brederodestraat,West,1054MP,Helmersbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1102 CA Amsterdam,Hoogoord 18,52.31660000,4.95170000,119500,64,165,1,1968,0,appartement,15,2,49.79663637578256,"Raoul Wallenberghofje 3, 1102 AH Amsterdam, Netherlands",52.316997,4.952039,3,,Raoul Wallenberghofje,Zuidoost,1102AH,Bijlmer Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1017 NA Amsterdam,Leidsegracht 17 hs,52.36300000,4.89240000,1044000,174,663,2,1906,0,appartement,14,3,0.6133852941470841,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",52.3629963,4.8923933,245L,,Kerkstraat,Centrum,1017GW,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1012 RN Amsterdam,Wijdesteeg 3 C,52.37350000,4.89510000,482840,60,255,3,1906,0,appartement,25,2,21.629838672501716,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",52.373392,4.895365,157,,Warmoesstraat,Centrum,1012JC,Oudezijde,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1064 EC Amsterdam,Burgemeester Hogguerstraat 855,52.37420000,4.82180000,189000,0,0,1,0,0,onbekend,1,1,6.234539033066015,"A.J. Krophollerstraat 6, 1064 DB Amsterdam, Netherlands",52.3742289,4.8217213,6,,A.J. Krophollerstraat,,1064DB,Nieuw-West,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1094 SZ Amsterdam,Formosastraat 44,52.36260000,4.93600000,300000,78,245,1,1986,0,appartement,28,3,22.683970451466475,"Sumatrastraat 69, 1094 LR Amsterdam, Netherlands",52.362521,4.936308,69,,Sumatrastraat,Oost,1094LR,Indische Buurt West,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1058 SL Amsterdam,Leiduinstraat 50 1,52.35790000,4.85100000,299000,58,179,1,1934,0,appartement,19,3,3.014316145532016,"Surinameplein, 1058 Amsterdam, Netherlands",52.357885,4.8518022,,Surinameplein,Surinameplein,,1058,,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1034 DG Amsterdam,Barkpad 43,52.40750000,4.91700000,359000,118,415,3,1987,1,woonhuis,22,6,22.620688767871073,"Bezaanjachtplein 243, 1034 CR Amsterdam, Netherlands",52.4077,4.916939,243,,Bezaanjachtplein,Noord,1034CR,Banne Buiksloot,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1017 SL Amsterdam,Weteringstraat 9,52.36300000,4.89240000,980000,175,649,4,1906,1,woonhuis,32,5,0.6133852941470841,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",52.3629963,4.8923933,245L,,Kerkstraat,Centrum,1017GW,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1095 HS Amsterdam,Sumatrastraat 212 H,52.36660000,4.95200000,225000,45,130,5,1906,1,appartement,21,3,6.439024133897987,"Zeeburgerdijk 585, 1095 AE Amsterdam, Netherlands",52.36658,4.952089,585,,Zeeburgerdijk,Oost,1095AE,Indische Buurt Oost,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1011 NA Amsterdam,Valkenburgerstraat 140 C,52.37100000,4.90410000,449000,90,316,1,2014,0,appartement,37,3,0.9358233445245736,"Keizersbrug, 1011 KV Amsterdam, Netherlands",52.3710995,4.9040025,,Keizersbrug,Keizersbrug,,1011KV,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1069 EC Amsterdam,Langswater 350,52.35560000,4.79070000,159000,60,180,13,1968,0,appartement,16,3,25.493785079984995,"Langswater 384, 1069 EC Amsterdam, Netherlands",52.355533,4.790341,384,,Langswater,Nieuw-West,1069EC,De Punt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1091 VB Amsterdam,Vrolikstraat 275 -II,52.35560000,4.91350000,275000,52,135,1,1954,0,appartement,22,2,5.562369844050275,"Derde Oosterparkstraat 11E, 1091 JS Amsterdam, Netherlands",52.3556497,4.9135093,11E,,Derde Oosterparkstraat,Oost,1091JS,Oost,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1086 Amsterdam,IJburglaan,52.36280000,4.98190000,45000,0,0,1,0,0,parkeergelegenheid,5,1,0.535708752118495,"IJburglaan 257, 1086 ZJ Amsterdam, Netherlands",52.3627971,4.9819063,257,,IJburglaan,Oost,1086ZJ,Steigereiland-Noord,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1055 RZ Amsterdam,Nieuwpoortstraat 86 C19,52.38020000,4.85240000,245000,49,173,1,2017,0,appartement,20,2,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,8-3,,Hertspieghelweg,West,1055KL,Landlust,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1102 AX Amsterdam,Raoul Wallenbergstraat 169,52.31660000,4.95170000,350000,135,430,1,2010,0,appartement,40,4,49.79663637578256,"Raoul Wallenberghofje 3, 1102 AH Amsterdam, Netherlands",52.316997,4.952039,3,,Raoul Wallenberghofje,Zuidoost,1102AH,Bijlmer Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1015 GR Amsterdam,Lijnbaansgracht 52 B,52.37840000,4.88360000,629900,90,269,2,1906,1,appartement,39,4,11.715735159463115,"Westerstraat 105-1, 1015 LX Amsterdam, Netherlands",52.3783013,4.8836604,105-1,,Westerstraat,Centrum,1015LX,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1067 SR Amsterdam,Osdorperweg 501,52.37860000,4.79870000,1250000,398,1157,3,1981,1,woonhuis,36,8,18.895369031063424,"Strackéstraat 8, 1067 KR Amsterdam, Netherlands",52.37863,4.798974,8,,Strackéstraat,Nieuw-West,1067KR,Geuzenveld,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1055 RZ Amsterdam,Nieuwpoortstraat 94 A 15,52.38020000,4.85240000,275000,56,198,1,2017,1,appartement,20,2,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,8-3,,Hertspieghelweg,West,1055KL,Landlust,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1011 CP Amsterdam,Nieuwe Ridderstraat 12 *,52.37100000,4.90410000,750000,121,327,3,1906,0,appartement,10,4,0.9358233445245736,"Keizersbrug, 1011 KV Amsterdam, Netherlands",52.3710995,4.9040025,,Keizersbrug,Keizersbrug,,1011KV,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1018 VT Amsterdam,Nieuwe Prinsengracht 68 -sous,52.36760000,4.91840000,450000,68,177,1,1891,1,appartement,27,3,4.080374033250982,"Entrepotdoksluis 4, 1018 AW Amsterdam, Netherlands",52.367578,4.9184481,4,,Entrepotdoksluis,Centrum,1018AW,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1025 WJ Amsterdam,Buikslotermeerdijk 18,52.39900000,4.93610000,750000,181,676,2,1981,1,woonhuis,31,7,12.750199922949465,"Buikslotermeerplein 124, 1025 EX Amsterdam, Netherlands",52.3989423,4.9362624,124,,Buikslotermeerplein,Noord,1025EX,Noord,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
