original_postalcode,original_street,original_lat,original_lng,original_price,original_area,original_volume,original_floors,original_year_build,original_has_garden,original_type,original_photos,original_rooms,distance,formatted,lat,lon,housenumber,name,street,district,suburb,postcode,city,state,country,country_code,attribution,attribution_license,attribution_url
1067 LG Amsterdam,Jan Springerhof 35,52.37860000,4.79870000,224000,75,210,2,1957,1,woonhuis,5,5,18.895369031063424,"Strackéstraat 8, 1067 KR Amsterdam, Netherlands",52.37863,4.798974,8,,Strackéstraat,Nieuw-West,Geuzenveld,1067KR,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1082 PB Amsterdam,Krooswijkhof 98,52.33110000,4.87420000,590000,131,395,1,1988,0,appartement,22,3,14.773310690004186,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",52.3309672,4.8742065,197,,Doddendaal,Zuid,Buitenveldert,1082XT,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1017 DM Amsterdam,Keizersgracht 495 L,52.36300000,4.89240000,795000,97,306,1,1891,1,appartement,34,4,0.6133852941470841,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",52.3629963,4.8923933,245L,,Kerkstraat,Centrum,Centrum,1017GW,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1011 GS Amsterdam,Krom Boomssloot 59 F,52.37100000,4.90410000,359000,50,140,4,1905,0,appartement,21,2,0.9358233445245736,"Keizersbrug, 1011 KV Amsterdam, Netherlands",52.3710995,4.9040025,,Keizersbrug,Keizersbrug,,Centrum,1011KV,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1055 RZ Amsterdam,Nieuwpoortstraat 94 D 17,52.38020000,4.85240000,440000,91,264,2,2017,1,appartement,20,3,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,8-3,,Hertspieghelweg,West,Landlust,1055KL,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1068 DA Amsterdam,Ruimzicht 318,52.35920000,4.80520000,197500,0,0,1,0,0,onbekend,1,1,1.9680665618174287,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",52.3592167,4.8052096,677,,Osdorpplein,Nieuw-West,Nieuw-West,1068TC,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1093 KP Amsterdam,Polderweg 232,52.36180000,4.92800000,435000,88,282,1,2012,0,appartement,18,3,0,"Dappermarkt, Tweede van Swindenstraat, 1093 GS Amsterdam, Netherlands",52.363045150000005,4.92724532349044,,Dappermarkt,Tweede van Swindenstraat,,Oost,1093GS,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1058 EB Amsterdam,Nachtwachtlaan 58,52.35790000,4.85100000,355000,98,250,1,1970,0,appartement,21,4,3.014316145532016,"Surinameplein, 1058 Amsterdam, Netherlands",52.357885,4.8518022,,Surinameplein,Surinameplein,,,1058,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1082 EA Amsterdam,Kastelenstraat 89 A,52.33110000,4.87420000,30000,0,0,1,0,0,parkeergelegenheid,5,1,14.773310690004186,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",52.3309672,4.8742065,197,,Doddendaal,Zuid,Buitenveldert,1082XT,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1056 KW Amsterdam,Korte Geuzenstraat 418,52.37320000,4.85600000,200000,40,104,1,1931,0,appartement,19,2,25.674998739078635,"Admiralengracht 228-2, 1056 TK Amsterdam, Netherlands",52.37323,4.856375,228-2,,Admiralengracht,West,De Krommert,1056TK,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1012 RN Amsterdam,Wijdesteeg 3 G,52.37350000,4.89510000,460840,51,195,3,1906,0,appartement,23,1,21.629838672501716,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",52.373392,4.895365,157,,Warmoesstraat,Centrum,Oudezijde,1012JC,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1055 RZ Amsterdam,Nieuwpoortstraat 86 D 9,52.38020000,4.85240000,475000,104,303,2,2017,1,appartement,20,3,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,8-3,,Hertspieghelweg,West,Landlust,1055KL,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1102 EE Amsterdam,Hofgeest 107,52.31660000,4.95170000,125000,65,165,10,1969,0,appartement,16,2,49.79663637578256,"Raoul Wallenberghofje 3, 1102 AH Amsterdam, Netherlands",52.316997,4.952039,3,,Raoul Wallenberghofje,Zuidoost,Bijlmer Centrum,1102AH,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1056 VV Amsterdam,Lumeijstraat 37 -4,52.37320000,4.85600000,375000,77,263,1,1922,0,appartement,29,3,25.674998739078635,"Admiralengracht 228-2, 1056 TK Amsterdam, Netherlands",52.37323,4.856375,228-2,,Admiralengracht,West,De Krommert,1056TK,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1066 AZ Amsterdam,Ottho Heldringstraat 202 b,52.34600000,4.81630000,350000,103,270,1,2010,0,appartement,28,4,2.7080196663115323,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",52.3460233,4.8162884,,Antwerpenbaan,Laan van Vlaanderen,Nieuw-West,Sloterpolder,1066JL,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1066 GE Amsterdam,Duke Ellingtonstraat 19 4,52.34600000,4.81630000,17500,0,0,1,0,0,onbekend,1,1,2.7080196663115323,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",52.3460233,4.8162884,,Antwerpenbaan,Laan van Vlaanderen,Nieuw-West,Sloterpolder,1066JL,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1096 CN Amsterdam,Jan Vroegopsingel 2 F,52.33870000,4.91970000,749911,88,414,1,1990,1,woonhuis,24,3,0.9954410102966944,"Amstelvlietstraat 408, 1096 GG Amsterdam, Netherlands",52.3387075,4.919692,408,,Amstelvlietstraat,Oost,De Omval,1096GG,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1082 MR Amsterdam,Leonard Bernsteinstraat,52.33110000,4.87420000,675000,129,400,1,2017,0,appartement,6,3,14.773310690004186,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",52.3309672,4.8742065,197,,Doddendaal,Zuid,Buitenveldert,1082XT,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1087 GT Amsterdam,Erich Salomonstraat,52.35390000,5.00050000,27000,0,0,1,0,0,parkeergelegenheid,4,1,14.547622573122053,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",52.353989,5.000657,987,,Maria Austriastraat,Oost,IJburg West,1087JB,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1054 XA Amsterdam,Kanaalstraat 53 III,52.36170000,4.86690000,525000,101,326,4,1901,0,appartement,20,3,12.085615741751521,"Brederodestraat 15-2, 1054 MP Amsterdam, Netherlands",52.361808,4.86692,15-2,,Brederodestraat,West,Helmersbuurt,1054MP,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1093 NH Amsterdam,Waldenlaan 11,52.36180000,4.92800000,400000,85,271,1,2013,0,appartement,23,3,0,"Dappermarkt, Tweede van Swindenstraat, 1093 GS Amsterdam, Netherlands",52.363045150000005,4.92724532349044,,Dappermarkt,Tweede van Swindenstraat,,Oost,1093GS,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1071 WH Amsterdam,Joh.M. Coenenstraat PP,52.35520000,4.87890000,40000,0,0,1,0,0,parkeergelegenheid,8,1,19.593762206140674,"Wouwermanstraat 26-H, 1071 LZ Amsterdam, Netherlands",52.3550303,4.8789777,26-H,,Wouwermanstraat,Zuid,Zuid,1071LZ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1091 PX Amsterdam,Afrikanerplein 158,52.35560000,4.91350000,295000,70,220,1,1992,0,appartement,27,3,5.562369844050275,"Derde Oosterparkstraat 11E, 1091 JS Amsterdam, Netherlands",52.3556497,4.9135093,11E,,Derde Oosterparkstraat,Oost,Oost,1091JS,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1079 NX Amsterdam,President Kennedylaan 272 -4,52.34230000,4.90360000,500000,114,402,2,1935,0,appartement,27,5,7.649499795287331,"Zomerdijkstraat 23-3, 1079 WZ Amsterdam, Netherlands",52.3423661,4.9035688,23-3,,Zomerdijkstraat,Zuid,Rijnbuurt,1079WZ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1097 CR Amsterdam,Willem Beukelsstraat 35 -HS,52.34650000,4.93010000,595000,100,304,1,1914,0,appartement,22,4,2.796740279342611,"Darwinplantsoen 6, 1097 EX Amsterdam, Netherlands",52.3465023,4.930059,6,,Darwinplantsoen,Oost,Oost,1097EX,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1094 JT Amsterdam,Balistraat 98 -D,52.36260000,4.93600000,300000,63,219,2,1915,0,appartement,30,3,22.683970451466475,"Sumatrastraat 69, 1094 LR Amsterdam, Netherlands",52.362521,4.936308,69,,Sumatrastraat,Oost,Indische Buurt West,1094LR,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1107 AR Amsterdam,Wethouder De Vriesplantsoen 67,52.29320000,4.98030000,245000,100,295,2,1981,1,woonhuis,11,5,5.755793401264633,"Sliedrechtstraat, 1107 JR Amsterdam, Netherlands",52.2932466,4.9805132,,Sliedrechtstraat,Sliedrechtstraat,,Gein,1107JR,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1076 JP Amsterdam,Van Tuyll van Serooskerkenweg 86 -huis,52.34550000,4.86070000,500000,83,293,1,1930,1,appartement,30,3,10.92988934570428,"Stadionweg 227-1, 1076 NT Amsterdam, Netherlands",52.3454054,4.8607437,227-1,,Stadionweg,Zuid,Zuid,1076NT,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1019 LR Amsterdam,KNSM-laan 630,52.37330000,4.93910000,335000,72,185,1,1992,0,appartement,26,3,5.763955155170856,"C.J.K. van Aalststraat 44, 1019 JZ Amsterdam, Netherlands",52.3732484,4.9391081,44,,C.J.K. van Aalststraat,,Eastern Docklands,1019JZ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1056 KS Amsterdam,Korte Geuzenstraat 114,52.37320000,4.85600000,165000,23,65,1,1942,0,appartement,13,1,25.674998739078635,"Admiralengracht 228-2, 1056 TK Amsterdam, Netherlands",52.37323,4.856375,228-2,,Admiralengracht,West,De Krommert,1056TK,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1023 NM Amsterdam,Schellingwouderdijk 372 E,52.38990000,4.94700000,239000,0,0,1,0,0,onbekend,1,1,11.813501088095425,"Oudorperstraat 17-1, 1023 SR Amsterdam, Netherlands",52.38987,4.947167,17-1,,Oudorperstraat,Noord,Tuindorp Nieuwendam,1023SR,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1092 HA Amsterdam,Transvaalstraat 13 I,52.35650000,4.92280000,195000,37,127,1,1913,0,appartement,14,2,22.97756790395036,"Tugelaweg 40G, 1092 VG Amsterdam, Netherlands",52.35637,4.923063,40G,,Tugelaweg,Oost,Transvaalbuurt,1092VG,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1077 VC Amsterdam,Holbeinstraat 33,52.34600000,4.87380000,1750000,191,760,2,1934,1,woonhuis,58,8,8.308924963734398,"Rubensstraat 70, 1077 NA Amsterdam, Netherlands",52.3459835,4.8736807,70,,Rubensstraat,Zuid,Zuid,1077NA,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1051 VD Amsterdam,Van der Hoopstraat 91 III,52.38180000,4.87170000,479000,93,281,2,1905,1,appartement,48,4,4.222585482550074,"Van Beuningenstraat 194E, 1051 XZ Amsterdam, Netherlands",52.381764,4.8716802,194E,,Van Beuningenstraat,West,West,1051XZ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1069 ED Amsterdam,Langswater 432,52.35560000,4.79070000,150000,70,210,13,1963,0,appartement,15,4,25.493785079984995,"Langswater 384, 1069 EC Amsterdam, Netherlands",52.355533,4.790341,384,,Langswater,Nieuw-West,De Punt,1069EC,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1058 HB Amsterdam,Antillenstraat 16 B,52.35790000,4.85100000,275000,55,143,1,1935,0,appartement,24,3,3.014316145532016,"Surinameplein, 1058 Amsterdam, Netherlands",52.357885,4.8518022,,Surinameplein,Surinameplein,,,1058,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1069 WJ Amsterdam,Ingelandenweg 126,52.35560000,4.79070000,250000,97,320,3,1963,1,woonhuis,12,5,25.493785079984995,"Langswater 384, 1069 EC Amsterdam, Netherlands",52.355533,4.790341,384,,Langswater,Nieuw-West,De Punt,1069EC,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1053 CC Amsterdam,Ten Katestraat 105,52.36680000,4.86810000,250000,56,167,1,1984,0,appartement,17,2,0,"De Hallen, Hannie Dankbaarpassage 20, 1053 RS Amsterdam, Netherlands",52.3667658,4.868139,20,De Hallen,Hannie Dankbaarpassage,,West,1053RS,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1083 TE Amsterdam,Oldengaarde 93,52.33020000,4.88440000,279000,78,256,4,1961,0,appartement,17,3,13.788550537185772,"Sijpestein 1, 1083 XH Amsterdam, Netherlands",52.3300849,4.8843245,1,,Sijpestein,Zuid,Buitenveldert-Oost,1083XH,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1068 VM Amsterdam,President Allendelaan 107,52.35920000,4.80520000,325000,98,295,1,2006,0,appartement,29,3,1.9680665618174287,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",52.3592167,4.8052096,677,,Osdorpplein,Nieuw-West,Nieuw-West,1068TC,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1075 SZ Amsterdam,Veerstraat 70 -IV,52.35180000,4.85860000,375000,60,229,4,1913,0,appartement,26,3,12.51019917998629,"Koninginneweg 237-H, 1075 CT Amsterdam, Netherlands",52.3519024,4.8585237,237-H,,Koninginneweg,Zuid,Zuid,1075CT,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1055 RD Amsterdam,Willem de Zwijgerlaan 334,52.38020000,4.85240000,174000,0,0,1,0,0,onbekend,1,1,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,8-3,,Hertspieghelweg,West,Landlust,1055KL,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1076 KS Amsterdam,Argonautenstraat 50 I,52.34550000,4.86070000,325000,62,210,1,1906,0,appartement,12,3,10.92988934570428,"Stadionweg 227-1, 1076 NT Amsterdam, Netherlands",52.3454054,4.8607437,227-1,,Stadionweg,Zuid,Zuid,1076NT,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1012 KZ Amsterdam,Rokin 100 I,52.37350000,4.89510000,519000,97,327,1,1906,0,appartement,19,4,21.629838672501716,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",52.373392,4.895365,157,,Warmoesstraat,Centrum,Oudezijde,1012JC,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1087 KE Amsterdam,Zwanebloemlaan 137,52.35390000,5.00050000,895000,198,660,3,2006,1,woonhuis,20,6,14.547622573122053,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",52.353989,5.000657,987,,Maria Austriastraat,Oost,IJburg West,1087JB,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1069 RG Amsterdam,Louis de Visserstraat 35,52.35560000,4.79070000,149000,42,125,1,1985,0,appartement,13,2,25.493785079984995,"Langswater 384, 1069 EC Amsterdam, Netherlands",52.355533,4.790341,384,,Langswater,Nieuw-West,De Punt,1069EC,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1087 AV Amsterdam,Erich Salomonstraat 3,52.35390000,5.00050000,300000,91,290,1,2008,0,appartement,29,4,14.547622573122053,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",52.353989,5.000657,987,,Maria Austriastraat,Oost,IJburg West,1087JB,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1016 RE Amsterdam,Lauriergracht 29 - I,52.37090000,4.88160000,235000,42,134,1,1906,0,appartement,9,2,0,"Canal Ring Area of Amsterdam, Konijnenstraat 20, 1021 HR Amsterdam, Netherlands",52.3709412,4.8817323,20,Canal Ring Area of Amsterdam,Konijnenstraat,,Centrum,1021HR,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1072 HN Amsterdam,Dusartstraat 31 1,52.35350000,4.89020000,250000,43,150,4,1906,0,appartement,16,1,4.566243169923167,"Eerste Jan van der Heijdenstraat 109-HV, 1072 TN Amsterdam, Netherlands",52.3534607,4.8901805,109-HV,,Eerste Jan van der Heijdenstraat,,Zuid,1072TN,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1068 PM Amsterdam,Oeverpad,52.35920000,4.80520000,14950,0,0,1,0,0,parkeergelegenheid,7,1,1.9680665618174287,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",52.3592167,4.8052096,677,,Osdorpplein,Nieuw-West,Nieuw-West,1068TC,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1016 DS Amsterdam,Keizersgracht,52.37090000,4.88160000,9500000,826,2478,7,1755,1,woonhuis,10,18,0,"Canal Ring Area of Amsterdam, Konijnenstraat 20, 1021 HR Amsterdam, Netherlands",52.3709412,4.8817323,20,Canal Ring Area of Amsterdam,Konijnenstraat,,Centrum,1021HR,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1096 DS Amsterdam,STATE Amsterdam (Bouwnr. 285),52.33870000,4.91970000,716513,123,308,1,2016,0,appartement,3,3,0.9954410102966944,"Amstelvlietstraat 408, 1096 GG Amsterdam, Netherlands",52.3387075,4.919692,408,,Amstelvlietstraat,Oost,De Omval,1096GG,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1033 DP Amsterdam,Kabelgaststraat 17,52.40920000,4.89020000,230000,77,215,3,1981,0,appartement,20,3,5.173699460915118,"Kometensingel 617, 1033 BT Amsterdam, Netherlands",52.409183,4.890129,617,,Kometensingel,Noord,Tuindorp Oostzaan,1033BT,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1055 RN Amsterdam,Juliana van Stolbergstraat 44 1,52.38020000,4.85240000,225000,54,145,1,1934,0,appartement,17,4,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,8-3,,Hertspieghelweg,West,Landlust,1055KL,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1079 NG Amsterdam,President Kennedylaan 82 2,52.34230000,4.90360000,449500,105,315,2,1934,0,appartement,25,3,7.649499795287331,"Zomerdijkstraat 23-3, 1079 WZ Amsterdam, Netherlands",52.3423661,4.9035688,23-3,,Zomerdijkstraat,Zuid,Rijnbuurt,1079WZ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1060 NT Amsterdam,Brenner 57,52.34910000,4.78350000,385000,132,460,3,1995,1,woonhuis,39,6,2.700931735231882,"De Alpen, 1060 PH Amsterdam, Netherlands",52.3502145,4.780774,,De Alpen,De Alpen,,De Aker,1060PH,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1067 AS Amsterdam,Pieter Postsingel 97,52.37860000,4.79870000,250000,100,330,3,1945,1,woonhuis,30,5,18.895369031063424,"Strackéstraat 8, 1067 KR Amsterdam, Netherlands",52.37863,4.798974,8,,Strackéstraat,Nieuw-West,Geuzenveld,1067KR,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1083 GA Amsterdam,Weerdestein 31,52.33020000,4.88440000,450000,135,402,1,1960,0,appartement,17,4,13.788550537185772,"Sijpestein 1, 1083 XH Amsterdam, Netherlands",52.3300849,4.8843245,1,,Sijpestein,Zuid,Buitenveldert-Oost,1083XH,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1018 DJ Amsterdam,Plantage Middenlaan 84 3/4,52.36760000,4.91840000,850000,140,404,3,1895,0,appartement,26,5,4.080374033250982,"Entrepotdoksluis 4, 1018 AW Amsterdam, Netherlands",52.367578,4.9184481,4,,Entrepotdoksluis,Centrum,Centrum,1018AW,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1024 KA Amsterdam,Hilversumstraat 76,52.39390000,4.95470000,300000,119,396,2,1960,1,woonhuis,20,5,5.346782837843484,"Zandvoortstraat 70, 1024 WE Amsterdam, Netherlands",52.3938521,4.9546931,70,,Zandvoortstraat,Noord,Waterlandpleinbuurt,1024WE,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1098 BH Amsterdam,Linnaeuskade 32 hs,52.35290000,4.94220000,950000,170,430,3,1931,1,appartement,46,6,5.359207257903827,"Voltaplein 42, 1098 NS Amsterdam, Netherlands",52.3529478,4.9421899,42,,Voltaplein,Oost,Oost,1098NS,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1012 TA Amsterdam,Koggestraat 5 C,52.37350000,4.89510000,500000,90,232,1,1905,0,appartement,17,3,21.629838672501716,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",52.373392,4.895365,157,,Warmoesstraat,Centrum,Oudezijde,1012JC,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1097 AH Amsterdam,Ringdijk 56 B,52.34650000,4.93010000,535000,81,243,2,1981,1,woonhuis,30,3,2.796740279342611,"Darwinplantsoen 6, 1097 EX Amsterdam, Netherlands",52.3465023,4.930059,6,,Darwinplantsoen,Oost,Oost,1097EX,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1015 WN Amsterdam,Marnixstraat 303 hs,52.37840000,4.88360000,595000,97,230,2,1905,1,appartement,31,5,11.715735159463115,"Westerstraat 105-1, 1015 LX Amsterdam, Netherlands",52.3783013,4.8836604,105-1,,Westerstraat,Centrum,Centrum,1015LX,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1034 LP Amsterdam,Grootzeil 33,52.40750000,4.91700000,175000,60,156,1,1976,0,appartement,1,2,22.620688767871073,"Bezaanjachtplein 243, 1034 CR Amsterdam, Netherlands",52.4077,4.916939,243,,Bezaanjachtplein,Noord,Banne Buiksloot,1034CR,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1055 EB Amsterdam,Bos en Lommerweg 24 II,52.38020000,4.85240000,225000,50,124,1,1934,0,appartement,22,3,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,8-3,,Hertspieghelweg,West,Landlust,1055KL,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1013 PA Amsterdam,Van Heemskerckstraat 58,52.38770000,4.88390000,360000,82,230,1,1881,0,appartement,23,3,22.600580536478933,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",52.387801,4.883611,58A,,Houtmankade,West,Spaarndammer- en Zeeheldenbuurt,1013MZ,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1091 MR Amsterdam,Ruyschstraat 335,52.35560000,4.91350000,325000,62,199,1,1900,0,appartement,19,2,5.562369844050275,"Derde Oosterparkstraat 11E, 1091 JS Amsterdam, Netherlands",52.3556497,4.9135093,11E,,Derde Oosterparkstraat,Oost,Oost,1091JS,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1013 BZ Amsterdam,Van Noordtkade 6 D,52.38770000,4.88390000,695000,134,445,3,1993,0,appartement,46,5,22.600580536478933,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",52.387801,4.883611,58A,,Houtmankade,West,Spaarndammer- en Zeeheldenbuurt,1013MZ,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1051 BM Amsterdam,Van Hogendorpstraat 143 III,52.38180000,4.87170000,235000,43,132,1,1906,0,appartement,12,2,4.222585482550074,"Van Beuningenstraat 194E, 1051 XZ Amsterdam, Netherlands",52.381764,4.8716802,194E,,Van Beuningenstraat,West,West,1051XZ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1086 VB Amsterdam,Brigantijnkade 38 *,52.36280000,4.98190000,650000,151,525,3,2008,1,woonhuis,30,5,0.535708752118495,"IJburglaan 257, 1086 ZJ Amsterdam, Netherlands",52.3627971,4.9819063,257,,IJburglaan,Oost,Steigereiland-Noord,1086ZJ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
