original_postalcode,original_street,original_lat,original_lng,original_price,original_area,original_volume,original_floors,original_year_build,original_has_garden,original_type,original_photos,original_rooms,distance,formatted,lat,lon,housenumber,name,street,district,suburb,postcode,city,state,country,country_code,attribution,attribution_license,attribution_url
1068 GV Amsterdam,Van Suchtelen van de Haarestraat 26 D,52.35920000,4.80520000,299500,0,0,1,0,0,onbekend,1,1,1.9680665618174287,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",52.3592167,4.8052096,677,,Osdorpplein,Nieuw-West,Nieuw-West,1068TC,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1017 GL Amsterdam,Kerkstraat 4 B,52.36300000,4.89240000,500000,73,252,1,1906,1,appartement,19,3,0.6133852941470841,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",52.3629963,4.8923933,245L,,Kerkstraat,Centrum,Centrum,1017GW,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1072 EG Amsterdam,Govert Flinckstraat 111 a-2,52.35350000,4.89020000,209000,34,110,3,1892,0,appartement,4,2,4.566243169923167,"Eerste Jan van der Heijdenstraat 109-HV, 1072 TN Amsterdam, Netherlands",52.3534607,4.8901805,109-HV,,Eerste Jan van der Heijdenstraat,,Zuid,1072TN,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1092 BB Amsterdam,Beukenplein 21,52.35650000,4.92280000,220000,0,0,1,0,0,onbekend,1,1,22.97756790395036,"Tugelaweg 40G, 1092 VG Amsterdam, Netherlands",52.35637,4.923063,40G,,Tugelaweg,Oost,Transvaalbuurt,1092VG,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1060 PJ Amsterdam,Ladogameerhof 34,52.34910000,4.78350000,229000,80,218,4,1998,0,appartement,16,3,2.700931735231882,"De Alpen, 1060 PH Amsterdam, Netherlands",52.3502145,4.780774,,De Alpen,De Alpen,,De Aker,1060PH,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1097 RA Amsterdam,Von Guerickestraat 99 hs,52.34650000,4.93010000,550000,96,357,2,1906,1,appartement,31,4,2.796740279342611,"Darwinplantsoen 6, 1097 EX Amsterdam, Netherlands",52.3465023,4.930059,6,,Darwinplantsoen,Oost,Oost,1097EX,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1068 PA Amsterdam,Jan Ligthartstraat 26,52.35920000,4.80520000,32500,0,0,1,0,0,parkeergelegenheid,4,1,1.9680665618174287,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",52.3592167,4.8052096,677,,Osdorpplein,Nieuw-West,Nieuw-West,1068TC,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1068 PM Amsterdam,Oeverpad 463,52.35920000,4.80520000,425000,117,360,4,2005,0,appartement,24,3,1.9680665618174287,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",52.3592167,4.8052096,677,,Osdorpplein,Nieuw-West,Nieuw-West,1068TC,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1067 TE Amsterdam,Osdorperweg 960,52.37860000,4.79870000,750000,215,927,3,1999,1,woonhuis,50,9,18.895369031063424,"Strackéstraat 8, 1067 KR Amsterdam, Netherlands",52.37863,4.798974,8,,Strackéstraat,Nieuw-West,Geuzenveld,1067KR,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1072 XL Amsterdam,Daniël Stalpertstraat 90 A,52.35350000,4.89020000,950000,138,455,2,1906,1,appartement,28,4,4.566243169923167,"Eerste Jan van der Heijdenstraat 109-HV, 1072 TN Amsterdam, Netherlands",52.3534607,4.8901805,109-HV,,Eerste Jan van der Heijdenstraat,,Zuid,1072TN,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1069 KS Amsterdam,Dr. E. Boekmanstraat 11,52.35560000,4.79070000,550000,215,645,4,2001,0,woonhuis,29,6,25.493785079984995,"Langswater 384, 1069 EC Amsterdam, Netherlands",52.355533,4.790341,384,,Langswater,Nieuw-West,De Punt,1069EC,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1108 EZ Amsterdam,Leksmondhof 253,52.30820000,4.98070000,250000,125,332,2,1980,0,appartement,28,5,60.948473119679264,"Openbare Daltonschool Nellestein, Leksmondplein 31, 1108 EL Amsterdam, Netherlands",52.308666,4.980228,31,Openbare Daltonschool Nellestein,Leksmondplein,Zuidoost,Nellestein,1108EL,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1033 BJ Amsterdam,Kometensingel 341,52.40920000,4.89020000,299000,95,321,3,1937,1,woonhuis,29,3,5.173699460915118,"Kometensingel 617, 1033 BT Amsterdam, Netherlands",52.409183,4.890129,617,,Kometensingel,Noord,Tuindorp Oostzaan,1033BT,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1012 XK Amsterdam,Voetboogstraat 5 F,52.37350000,4.89510000,725000,112,409,1,1900,1,appartement,24,3,21.629838672501716,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",52.373392,4.895365,157,,Warmoesstraat,Centrum,Oudezijde,1012JC,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1018 KN Amsterdam,Kattenburgergracht 9 C,52.36760000,4.91840000,197500,30,90,1,1930,0,appartement,19,1,4.080374033250982,"Entrepotdoksluis 4, 1018 AW Amsterdam, Netherlands",52.367578,4.9184481,4,,Entrepotdoksluis,Centrum,Centrum,1018AW,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1015 JN Amsterdam,Goudsbloemstraat 203 B,52.37840000,4.88360000,300000,47,122,1,1905,0,appartement,20,2,11.715735159463115,"Westerstraat 105-1, 1015 LX Amsterdam, Netherlands",52.3783013,4.8836604,105-1,,Westerstraat,Centrum,Centrum,1015LX,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1055 MP Amsterdam,Admiraal De Ruijterweg 258 -I,52.38020000,4.85240000,325000,69,230,1,1922,0,appartement,27,3,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,8-3,,Hertspieghelweg,West,Landlust,1055KL,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1068 ZB Amsterdam,Boutenburg 107,52.35920000,4.80520000,165000,65,180,9,1960,0,appartement,19,3,1.9680665618174287,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",52.3592167,4.8052096,677,,Osdorpplein,Nieuw-West,Nieuw-West,1068TC,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1016 RW Amsterdam,Elandsstraat 3 -C,52.37090000,4.88160000,675000,112,291,2,1906,0,appartement,26,3,0,"Canal Ring Area of Amsterdam, Konijnenstraat 20, 1021 HR Amsterdam, Netherlands",52.3709412,4.8817323,20,Canal Ring Area of Amsterdam,Konijnenstraat,,Centrum,1021HR,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1102 EE Amsterdam,Hofgeest 90 B,52.31660000,4.95170000,0,65,180,9,1969,0,appartement,2,3,49.79663637578256,"Raoul Wallenberghofje 3, 1102 AH Amsterdam, Netherlands",52.316997,4.952039,3,,Raoul Wallenberghofje,Zuidoost,Bijlmer Centrum,1102AH,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1078 KT Amsterdam,Roompotstraat 13 I,52.34640000,4.89770000,365000,72,237,1,1931,0,appartement,24,4,11.344645539447924,"Churchill-laan 75D, 1078 DJ Amsterdam, Netherlands",52.3464982,4.8976547,75D,,Churchill-laan,Zuid,Zuid,1078DJ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1019 KJ Amsterdam,Borneolaan,52.37330000,4.93910000,40000,0,0,1,0,0,parkeergelegenheid,2,1,5.763955155170856,"C.J.K. van Aalststraat 44, 1019 JZ Amsterdam, Netherlands",52.3732484,4.9391081,44,,C.J.K. van Aalststraat,,Eastern Docklands,1019JZ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1097 BN Amsterdam,Middenweg 28 I,52.34650000,4.93010000,275000,57,202,1,1900,1,appartement,17,2,2.796740279342611,"Darwinplantsoen 6, 1097 EX Amsterdam, Netherlands",52.3465023,4.930059,6,,Darwinplantsoen,Oost,Oost,1097EX,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1055 RZ Amsterdam,Nieuwpoortstraat 94 B1,52.38020000,4.85240000,246500,48,170,1,2017,1,appartement,20,2,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,8-3,,Hertspieghelweg,West,Landlust,1055KL,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1056 SR Amsterdam,Vespuccistraat 106 III,52.37320000,4.85600000,279000,58,175,1,1926,0,appartement,38,2,25.674998739078635,"Admiralengracht 228-2, 1056 TK Amsterdam, Netherlands",52.37323,4.856375,228-2,,Admiralengracht,West,De Krommert,1056TK,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1058 VN Amsterdam,Paramaribostraat 86 H,52.35790000,4.85100000,498000,92,247,1,1930,0,appartement,1,3,3.014316145532016,"Surinameplein, 1058 Amsterdam, Netherlands",52.357885,4.8518022,,Surinameplein,Surinameplein,,,1058,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1035 BH Amsterdam,Petmolen 58,52.41960000,4.89440000,200000,94,296,1,1968,0,appartement,23,4,5.227310669140413,"Jacob Honigstraat 5, 1035 XV Amsterdam, Netherlands",52.419555,4.8944223,5,,Jacob Honigstraat,Noord,Oostzanerwerf,1035XV,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1018 DM Amsterdam,Anne Frankstraat 51,52.36760000,4.91840000,60000,0,0,1,0,0,parkeergelegenheid,7,1,4.080374033250982,"Entrepotdoksluis 4, 1018 AW Amsterdam, Netherlands",52.367578,4.9184481,4,,Entrepotdoksluis,Centrum,Centrum,1018AW,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
